sorted_basename,categoria,subtipo,cell_line,group_key,timepoint_h,campo,raw_file_original,raw_md5,whst_input_file,test_image,match_via,classe_validade,serie_padrao,serie_closure_plausivel,serie_decisao,excesso_rel,excesso_ref,na_lista_correcao,na_lista_revisao,contencao_t0,modo_falha,origem_categoria,motivo_operador,status_correcao
HUVEC__LUIS_RAW_PET_C5__tp12h__2__C5_12H_2__c5c9c83ff5.jpg,SEG_RUIM,super,HUVEC,LUIS RAW||PET||C5,12,2,C5 12H 2.tiff,c5c9c83ff5ae41c36f2964dba9355c45,c5c9c83ff5__HUVEC__LUIS_RAW_PET_C5__tp12h__C5_12H_2.tiff,C5 12H 2_png.rf.yGOWuMwCESVagvk7Q4HY.png,nome,falha_metodo_WHST,CONSISTENTE_SUPER+INVALIDA,sim,USAVEL_sem_correcao,-0.582,cond_ok,nao,nao,,nao_avaliavel,anotacao,"imagem na borda do poço, onde a segmentação pegou area fora da central",
HUVEC__LUIS_RAW_PET_F2__tp00h__1__F2_0H_1__125425d796.jpg,OK,,HUVEC,LUIS RAW||PET||F2,0,1,F2 0H 1.tiff,125425d79672aa9b85eb2c5e0cf1f006,125425d796__HUVEC__LUIS_RAW_PET_F2__tp0h__F2_0H_1.tiff,F2 0H 1_png.rf.zPl6vPkH5HpqtxJsWJxj.png,nome,valida_ok,CONSISTENTE_OK,sim,USAVEL_sem_correcao,,,nao,nao,,,triagem,,
HUVEC__LUIS_RAW_PET_F2__tp08h__2__F2_8H_2__ab1e438082.jpg,SEG_RUIM,super,HUVEC,LUIS RAW||PET||F2,8,2,F2 8H 2.tiff,ab1e4380821be96d0d306a67a399f2c2,ab1e438082__HUVEC__LUIS_RAW_PET_F2__tp8h__F2_8H_2.tiff,F2 8H 2_png.rf.dUFZVFJ0aVESmoGKjJ05.png,nome,falha_metodo_WHST,CONSISTENTE_SUPER+INVALIDA,nao,CORRIGIR_consistente_implausivel,-0.058,cond_ok,sim,nao,,nao_avaliavel,triagem,pegou a ferida e fora dela tambem mas faltou uma parte. Seria sub.,
HUVEC__LUIS_RAW_PET_F2__tp12h__1__F2_12H_1__7e12b751cc.jpg,OK,,HUVEC,LUIS RAW||PET||F2,12,1,F2 12H 1.tiff,7e12b751cc64b9812e9919f34efaac90,7e12b751cc__HUVEC__LUIS_RAW_PET_F2__tp12h__F2_12H_1.tiff,F2 12H 1_png.rf.h05DU2gxBlXL6JdotHmg.png,nome,valida_ok,CONSISTENTE_OK,sim,USAVEL_sem_correcao,,,nao,nao,0.4156,,anotacao,pegou corretamente,
HUVEC__LUIS_RAW_PET_F2__tp12h__2__F2_12H_2__be0b2a74bf.jpg,SEG_RUIM,super,HUVEC,LUIS RAW||PET||F2,12,2,F2 12H 2.tiff,be0b2a74bfbca0f47e9eb07f0a7ef08f,be0b2a74bf__HUVEC__LUIS_RAW_PET_F2__tp12h__F2_12H_2.tiff,F2 12H 2_png.rf.2goGI5xvDCGG2PJZ8Its.png,nome,falha_metodo_WHST,CONSISTENTE_SUPER+INVALIDA,nao,CORRIGIR_consistente_implausivel,0.080,irmao_campo,sim,nao,,nao_avaliavel,triagem,pegou a ferida e fora dela tambem mas faltou uma parte,
HUVEC__Migra_o_PET_e_PEP_n1_RAW_PEP_NEB_5uM_D4__tp00h__1__D4_0H_1__eeb18a29d8.jpg,SEG_RUIM,super,HUVEC,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,0,1,D4 0H 1.tiff,eeb18a29d8cb4364cb39000ba72a4dc9,eeb18a29d8__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp0h__D4_0H_1.tiff,D4 0H 1_png.rf.hIDWQ46StqSUcKyGmBYY.png,nome,falha_metodo_WHST,CONSISTENTE_SUPER+INVALIDA,sim,USAVEL_sem_correcao,,sem_referencia,nao,nao,,nao_avaliavel,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__Migra_o_PET_e_PEP_n1_RAW_PEP_NEB_5uM_D4__tp00h__2__D4_0H_2__876603b483.jpg,SEG_RUIM,super,HUVEC,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,0,2,D4 0H 2.tiff,876603b4832def7bb1a6e851ad83bba3,876603b483__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp0h__D4_0H_2.tiff,D4 0H 2_png.rf.7RFXNZEElcEIxiB134la.png,nome,falha_metodo_WHST,CONSISTENTE_SUPER+INVALIDA,sim,USAVEL_sem_correcao,,sem_referencia,nao,nao,,nao_avaliavel,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__Migra_o_PET_e_PEP_n1_RAW_PEP_NEB_5uM_D4__tp08h__1__D4_8H_1__4826c4f4b8.jpg,IMG_INVALIDA,,HUVEC,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,8,1,D4 8H 1.tiff,4826c4f4b8171cc0f470fb4939503c86,4826c4f4b8__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp8h__D4_8H_1.tiff,D4 8H 1_png.rf.a8mANb97avVu4hPsbo7a.png,nome,invalidez_imagem,CONSISTENTE_SUPER+INVALIDA,sim,USAVEL_sem_correcao,,,nao,sim,0.7200,excesso,correcao_manual,pegou a ferida e fora dela tambem,invalida
HUVEC__Migra_o_PET_e_PEP_n1_RAW_PEP_NEB_5uM_D4__tp08h__2__D4_8H_2__67ffbd1e7d.jpg,SEG_RUIM,super,HUVEC,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,8,2,D4 8H 2.tiff,67ffbd1e7d6f24f278608310a20c7cc6,67ffbd1e7d__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp8h__D4_8H_2.tiff,D4 8H 2_png.rf.mnoVDerLhE6PpOQcbUog.png,nome,falha_metodo_WHST,CONSISTENTE_SUPER+INVALIDA,sim,USAVEL_sem_correcao,,sem_referencia,nao,nao,0.9830,excesso,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__Migra_o_PET_e_PEP_n1_RAW_PEP_NEB_5uM_D4__tp12h__1__D4_12H_1__df5b31f84c.jpg,SEG_RUIM,super,HUVEC,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,12,1,D4 12H 1.tiff,df5b31f84c26c05fb3165ff9ca7aa6a1,df5b31f84c__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp12h__D4_12H_1.tiff,D4 12H 1_png.rf.rmwAgsyRm1ZzZ55GuiPB.png,nome,falha_metodo_WHST,CONSISTENTE_SUPER+INVALIDA,sim,USAVEL_sem_correcao,,sem_referencia,nao,nao,0.7716,excesso,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__Migra_o_PET_e_PEP_n1_RAW_PEP_NEB_5uM_D4__tp12h__2__D4_12H_2__d4aba0cc0b.jpg,SEG_RUIM,super,HUVEC,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,12,2,D4 12H 2.tiff,d4aba0cc0b394929812dc86ca97afe1d,d4aba0cc0b__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp12h__D4_12H_2.tiff,D4 12H 2_png.rf.txyJ67o8LXpC3sVtUoTH.png,nome,falha_metodo_WHST,CONSISTENTE_SUPER+INVALIDA,sim,USAVEL_sem_correcao,,sem_referencia,nao,nao,0.9872,excesso,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__Migra_o_PET_e_PEP_n1_RAW_PEP_NEB_5uM_D4__tp24h__1__D4_24H_1__d8240f29e1.jpg,IMG_INVALIDA,,HUVEC,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,24,1,D4 24H 1.tiff,d8240f29e15ee3f8acd5daf33947b7f0,d8240f29e1__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp24h__D4_24H_1.tiff,D4 24H 1_png.rf.4NmTRoRHXyugKUw10i8s.png,nome,invalidez_imagem,CONSISTENTE_SUPER+INVALIDA,sim,USAVEL_sem_correcao,,,nao,sim,0.7305,,anotacao,"imagem ruidosa, trataria como invalida",
HUVEC__Migra_o_PET_e_PEP_n1_RAW_PEP_NEB_5uM_D4__tp24h__2__D4_24H_2__9f5991f031.jpg,IMG_INVALIDA,,HUVEC,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,24,2,D4 24H 2.tiff,9f5991f031efc2df76fe9c3fcab5f908,9f5991f031__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp24h__D4_24H_2.tiff,D4 24H 2_png.rf.RklTkqfkG2jxmrJIVlDw.png,nome,invalidez_imagem,CONSISTENTE_SUPER+INVALIDA,sim,USAVEL_sem_correcao,,,nao,sim,0.9524,,anotacao,"imagem ruidosa, trataria como invalida",
HUVEC__Migra_o_PET_e_PEP_n1_RAW_PET_NEB_1uM_C5__tp00h__1__C5_0H_1_2__4d1c387ecc.jpg,SEG_RUIM,super,HUVEC,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,0,1,C5 0H 1 (2).tiff,4d1c387ecc9648203c3a9589f2f1e946,4d1c387ecc__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp0h__C5_0H_1_2.tiff,C5 0H 1_png.rf.qfmzlYXXLFM1UbctuHo5.png,nome,falha_metodo_WHST,CONSISTENTE_SUPER+INVALIDA,sim,USAVEL_sem_correcao,,sem_referencia,nao,nao,,nao_avaliavel,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__Migra_o_PET_e_PEP_n1_RAW_PET_NEB_1uM_C5__tp00h__2__C5_0H_2_2__cf9152592e.jpg,SEG_RUIM,super,HUVEC,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,0,2,C5 0H 2 (2).tiff,cf9152592ee78a6381d54317c43c9ec7,cf9152592e__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp0h__C5_0H_2_2.tiff,C5 0H 2_png.rf.UQiYCwrvqp79phsQH2z3.png,nome,falha_metodo_WHST,CONSISTENTE_SUPER+INVALIDA,sim,USAVEL_sem_correcao,,sem_referencia,nao,nao,,nao_avaliavel,triagem,pegou a ferida e fora dela tambem,
HUVEC__Migra_o_PET_e_PEP_n1_RAW_PET_NEB_1uM_C5__tp08h__1__C5_8H_1_2__c942b61a06.jpg,SEG_RUIM,super,HUVEC,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,8,1,C5 8H 1 (2).tiff,c942b61a0686ec36a334c9d187101116,c942b61a06__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp8h__C5_8H_1_2.tiff,C5 8H 1_png.rf.QRwHfTeZ3iXOWs30KZOS.png,nome,falha_metodo_WHST,CONSISTENTE_SUPER+INVALIDA,sim,USAVEL_sem_correcao,,sem_referencia,nao,nao,0.5958,excesso,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__Migra_o_PET_e_PEP_n1_RAW_PET_NEB_1uM_C5__tp08h__2__C5_8H_2_2__77136aab22.jpg,SEG_RUIM,super,HUVEC,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,8,2,C5 8H 2 (2).tiff,77136aab227c00d6895a75b4d903ba03,77136aab22__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp8h__C5_8H_2_2.tiff,C5 8H 2_png.rf.Su3UAyP9dztNqZtfn0u1.png,nome,falha_metodo_WHST,CONSISTENTE_SUPER+INVALIDA,sim,USAVEL_sem_correcao,,sem_referencia,nao,nao,0.8628,excesso,triagem,pegou a ferida e fora dela tambem,
HUVEC__Migra_o_PET_e_PEP_n1_RAW_PET_NEB_1uM_C5__tp12h__1__C5_12H_1_2__2f5428b547.jpg,SEG_RUIM,super,HUVEC,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,12,1,C5 12H 1 (2).tiff,2f5428b547c163fea5537bc583d7f06b,2f5428b547__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp12h__C5_12H_1_2.tiff,C5 12H 1_png.rf.eqPnAQCG5aI0rvfthMNV.png,nome,falha_metodo_WHST,CONSISTENTE_SUPER+INVALIDA,sim,USAVEL_sem_correcao,,sem_referencia,nao,nao,0.7962,excesso,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__Migra_o_PET_e_PEP_n1_RAW_PET_NEB_1uM_C5__tp12h__2__C5_12H_2_2__b248b322dd.jpg,SEG_RUIM,super,HUVEC,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,12,2,C5 12H 2 (2).tiff,b248b322ddefc63840db47eee55c19a9,b248b322dd__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp12h__C5_12H_2_2.tiff,C5 12H 2_png.rf.oLP5pb7BztRNGjNEDlAS.png,nome,falha_metodo_WHST,CONSISTENTE_SUPER+INVALIDA,sim,USAVEL_sem_correcao,,sem_referencia,nao,nao,0.7548,excesso,triagem,pegou a ferida e fora dela tambem,
HUVEC__Migra_o_PET_e_PEP_n1_RAW_PET_NEB_1uM_C5__tp24h__1__C5_24H_1_2__6af51551c0.jpg,IMG_INVALIDA,,HUVEC,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,24,1,C5 24H 1 (2).tiff,6af51551c02ea4e17af8e73e3fb436b6,6af51551c0__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp24h__C5_24H_1_2.tiff,C5 24H 1_png.rf.GRabFdMEvh7NdJQw7srC.png,nome,invalidez_imagem,CONSISTENTE_SUPER+INVALIDA,sim,USAVEL_sem_correcao,,,nao,sim,0.4833,,anotacao,"imagem ruidosa, trataria como invalida",
HUVEC__Migra_o_PET_e_PEP_n1_RAW_PET_NEB_1uM_C5__tp24h__2__C5_24H_2_2__17691aa585.jpg,IMG_INVALIDA,,HUVEC,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,24,2,C5 24H 2 (2).tiff,17691aa585e823a0582131bb0782c945,17691aa585__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp24h__C5_24H_2_2.tiff,C5 24H 2_png.rf.1BqtMMJEWOuzOCOM43Zl.png,nome,invalidez_imagem,CONSISTENTE_SUPER+INVALIDA,sim,USAVEL_sem_correcao,,,nao,sim,0.6662,,anotacao,"imagem ruidosa, trataria como invalida",
HUVEC__Migra_o_PET_e_PEP_n2_RAW_PEP_A2__tp00h__2__A2_0H_2_2__dd8ad98535.jpg,OK,,HUVEC,Migração (PET e PEP) n2 - RAW||PEP||A2,0,2,A2 0H 2 (2).tiff,dd8ad9853582e90e6c68a881d279ef39,dd8ad98535__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp0h__A2_0H_2_2.tiff,A2 0H 2_png.rf.wLkBHcGvevKm0A73Vxcz.png,nome,valida_ok,MISTO,sim,CORRIGIR_misto,,,nao,nao,,,triagem,,ok
HUVEC__Migra_o_PET_e_PEP_n2_RAW_PEP_A2__tp08h__1__A2_8H_1_2__ff629ecc3f.jpg,IMG_INVALIDA,,HUVEC,Migração (PET e PEP) n2 - RAW||PEP||A2,8,1,A2 8H 1 (2).tiff,ff629ecc3f83a968345de2bf80570b69,ff629ecc3f__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp8h__A2_8H_1_2.tiff,A2 8H 1_png.rf.xvZ2Owwq7kfNeQBUdLj1.png,nome,invalidez_imagem,CONSISTENTE_SUPER+INVALIDA,nao,CORRIGIR_consistente_implausivel,,,nao,sim,,,anotacao,"imagem ruidosa, segmentação dificil",
HUVEC__Migra_o_PET_e_PEP_n2_RAW_PEP_A2__tp08h__2__A2_8H_2_3__ee865b4881.jpg,SEG_RUIM,super,HUVEC,Migração (PET e PEP) n2 - RAW||PEP||A2,8,2,A2 8H 2 (3).tiff,ee865b48813e416cdf8b625bd8757fbc,ee865b4881__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp8h__A2_8H_2_3.tiff,A2 8H 2_png.rf.7oLJskKDBKhwtDpwzZqy.png,nome,falha_metodo_WHST,MISTO,sim,CORRIGIR_misto,0.388,lote_ok,sim,nao,0.4958,deslocada,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__Migra_o_PET_e_PEP_n2_RAW_PEP_A2__tp12h__1__A2_12H_1_2__bec6037b38.jpg,SEG_RUIM,super,HUVEC,Migração (PET e PEP) n2 - RAW||PEP||A2,12,1,A2 12H 1 (2).tiff,bec6037b38d89e6a8c68001fe1c5a8af,bec6037b38__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp12h__A2_12H_1_2.tiff,A2 12H 1_png.rf.xnmVBn7WXmT4yiy3UMlx.png,nome,falha_metodo_WHST,CONSISTENTE_SUPER+INVALIDA,nao,CORRIGIR_consistente_implausivel,,sem_referencia,sim,nao,,nao_avaliavel,triagem,pegou a ferida e fora dela tambem,
HUVEC__Migra_o_PET_e_PEP_n2_RAW_PEP_A2__tp12h__2__A2_12H_2_2__267a4a1f3f.jpg,SEG_RUIM,super,HUVEC,Migração (PET e PEP) n2 - RAW||PEP||A2,12,2,A2 12H 2 (2).tiff,267a4a1f3f1bf01177b6da974b0a9bfc,267a4a1f3f__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp12h__A2_12H_2_2.tiff,A2 12H 2_png.rf.N7tpAQyq0PEGrhaTGLJT.png,nome,falha_metodo_WHST,MISTO,sim,CORRIGIR_misto,,sem_referencia,sim,nao,0.3926,deslocada,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__Migra_o_PET_e_PEP_n2_RAW_PEP_A2__tp24h__1__A2_24H_1_3__294bd4aad2.jpg,SEG_RUIM,super,HUVEC,Migração (PET e PEP) n2 - RAW||PEP||A2,24,1,A2 24H 1 (3).tiff,294bd4aad25bc69ef7f55aaf4fcdbaa0,294bd4aad2__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp24h__A2_24H_1_3.tiff,A2 24H 1_png.rf.EFavmtKTLhhnJThESvF0.png,nome,falha_metodo_WHST,CONSISTENTE_SUPER+INVALIDA,nao,CORRIGIR_consistente_implausivel,,sem_referencia,sim,nao,,nao_avaliavel,triagem,pegou a ferida e fora dela tambem,
HUVEC__Migra_o_PET_e_PEP_n2_RAW_PEP_A2__tp24h__2__A2_24H_2_3__8c3064543d.jpg,SEG_RUIM,super,HUVEC,Migração (PET e PEP) n2 - RAW||PEP||A2,24,2,A2 24H 2 (3).tiff,8c3064543dcecf92d9b088612e6278eb,8c3064543d__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp24h__A2_24H_2_3.tiff,A2 24H 2_png.rf.E5xmaghZdqaoko8wlaZh.png,nome,falha_metodo_WHST,MISTO,sim,CORRIGIR_misto,,sem_referencia,sim,nao,0.4002,deslocada,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__Migra_o_PET_e_PEP_n2_RAW_PEP_NEB_1uM_B1__tp00h__1__B1_0H_1_2__2b7fcfc602.jpg,OK,,HUVEC,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,0,1,B1 0H 1 (2).tiff,2b7fcfc602bab67666e84297f6a337ed,2b7fcfc602__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp0h__B1_0H_1_2.tiff,B1 0H 1_png.rf.j3ckb2OmuPoN1D2ZNrsL.png,nome,valida_ok,MISTO,sim,CORRIGIR_misto,,,nao,nao,,,triagem,,ok
HUVEC__Migra_o_PET_e_PEP_n2_RAW_PEP_NEB_1uM_B1__tp00h__2__B1_0H_2_2__fcc8ab6862.jpg,OK,,HUVEC,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,0,2,B1 0H 2 (2).tiff,fcc8ab68621556f37ee5951b575efe1c,fcc8ab6862__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp0h__B1_0H_2_2.tiff,B1 0H 2_png.rf.M9qDqnfqVRQAN3kixv3Y.png,nome,valida_ok,MISTO+INVALIDA,sim,CORRIGIR_misto,,,nao,nao,,,triagem,,ok
HUVEC__Migra_o_PET_e_PEP_n2_RAW_PEP_NEB_1uM_B1__tp08h__1__B1_8H_1_2__7be1c29792.jpg,SEG_RUIM,super,HUVEC,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,8,1,B1 8H 1 (2).tiff,7be1c29792303a128799be274a816029,7be1c29792__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp8h__B1_8H_1_2.tiff,B1 8H 1_png.rf.fqDTrXJGtwGnRUswH16c.png,nome,falha_metodo_WHST,MISTO,sim,CORRIGIR_misto,0.204,irmao_campo,sim,nao,0.4525,deslocada,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__Migra_o_PET_e_PEP_n2_RAW_PEP_NEB_1uM_B1__tp08h__2__B1_8H_2_2__0b9742f9a3.jpg,OK,,HUVEC,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,8,2,B1 8H 2 (2).tiff,0b9742f9a394be31876fde8992280598,0b9742f9a3__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp8h__B1_8H_2_2.tiff,B1 8H 2_png.rf.gA6SnVr547LgfEenVrRi.png,nome,valida_ok,MISTO+INVALIDA,sim,CORRIGIR_misto,,,nao,nao,0.8812,,triagem,,ok
HUVEC__Migra_o_PET_e_PEP_n2_RAW_PEP_NEB_1uM_B1__tp12h__1__B1_12H_1_2__b050d01a16.jpg,SEG_RUIM,super,HUVEC,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,12,1,B1 12H 1 (2).tiff,b050d01a1674409a490d00ac93b97db1,b050d01a16__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp12h__B1_12H_1_2.tiff,B1 12H 1_png.rf.VB9B0BXSFCbQoytWKIkL.png,nome,falha_metodo_WHST,MISTO,sim,CORRIGIR_misto,,sem_referencia,sim,nao,0.3629,deslocada,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__Migra_o_PET_e_PEP_n2_RAW_PEP_NEB_1uM_B1__tp12h__2__B1_12H_2_2__f16a067d42.jpg,IMG_INVALIDA,,HUVEC,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,12,2,B1 12H 2 (2).tiff,f16a067d4228e529d8d3fff8e8de0e7c,f16a067d42__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp12h__B1_12H_2_2.tiff,B1 12H 2_png.rf.cFU7xmBfmqqkIIa5q7nh.png,nome,invalidez_imagem,MISTO+INVALIDA,sim,CORRIGIR_misto,,,sim,nao,0.0020,,triagem,imagem está ruidosa mas daria para segmentar com dificuldade,invalida
HUVEC__Migra_o_PET_e_PEP_n2_RAW_PEP_NEB_1uM_B1__tp24h__1__B1_24H_1_2__7b82c62a3a.jpg,SEG_RUIM,super,HUVEC,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,24,1,B1 24H 1 (2).tiff,7b82c62a3afc194b75ea7891b253b65e,7b82c62a3a__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp24h__B1_24H_1_2.tiff,B1 24H 1_png.rf.GJ99b6zJDkCcdldeprAL.png,nome,falha_metodo_WHST,MISTO,sim,CORRIGIR_misto,,sem_referencia,sim,nao,0.5215,excesso,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__Migra_o_PET_e_PEP_n2_RAW_PEP_NEB_1uM_B1__tp24h__2__B1_24H_2_3__11aad82875.jpg,SEG_RUIM,super,HUVEC,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,24,2,B1 24H 2 (3).tiff,11aad82875559d4ebd8784ff9c520cb3,11aad82875__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp24h__B1_24H_2_3.tiff,B1 24H 2_png.rf.WAXPIALQ8VqzYoMup3J4.png,nome,falha_metodo_WHST,MISTO+INVALIDA,sim,CORRIGIR_misto,,sem_referencia,sim,nao,0.0004,deslocada,triagem,pegou fora da ferida,ok
HUVEC__Migra_o_PET_e_PEP_n2_RAW_PET_NEB_5uM_D3__tp00h__1__D3_0H_1_2__9c4fdbdc3c.jpg,OK,,HUVEC,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,0,1,D3 0H 1 (2).tiff,9c4fdbdc3c606b42d7e29b9add4eb5f7,9c4fdbdc3c__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp0h__D3_0H_1_2.tiff,D3 0H 1_png.rf.jWsUip53LaCF4OaEEFcb.png,nome,valida_ok,MISTO,sim,CORRIGIR_misto,,,nao,nao,,,triagem,,ok
HUVEC__Migra_o_PET_e_PEP_n2_RAW_PET_NEB_5uM_D3__tp00h__2__D3_0H_2_2__074ae97d16.jpg,SEG_RUIM,super,HUVEC,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,0,2,D3 0H 2 (2).tiff,074ae97d16a66fa1d5b652dacb00b19b,074ae97d16__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp0h__D3_0H_2_2.tiff,D3 0H 2_png.rf.lkEcbAGS1IAwabi3cMT3.png,nome,falha_metodo_WHST,CONSISTENTE_SUPER,sim,USAVEL_sem_correcao,0.116,irmao_campo,nao,nao,,nao_avaliavel,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__Migra_o_PET_e_PEP_n2_RAW_PET_NEB_5uM_D3__tp08h__1__D3_8H_1_2__a41e7eccaa.jpg,SEG_RUIM,super,HUVEC,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,8,1,D3 8H 1 (2).tiff,a41e7eccaaada2799738caeac6ef171f,a41e7eccaa__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp8h__D3_8H_1_2.tiff,D3 8H 1_png.rf.6ah0Jg4O5oakLSomUxcX.png,nome,falha_metodo_WHST,MISTO,sim,CORRIGIR_misto,0.798,lote_ok,sim,nao,0.5642,excesso,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__Migra_o_PET_e_PEP_n2_RAW_PET_NEB_5uM_D3__tp08h__2__D3_8H_2_2__8db9535923.jpg,SEG_RUIM,super,HUVEC,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,8,2,D3 8H 2 (2).tiff,8db9535923b17ea72edd2fe777de4306,8db9535923__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp8h__D3_8H_2_2.tiff,D3 8H 2_png.rf.RmIwn01JNbgfY0VcrlAP.png,nome,falha_metodo_WHST,CONSISTENTE_SUPER,sim,USAVEL_sem_correcao,0.947,lote_ok,nao,nao,0.9390,excesso,triagem,pegou a ferida e fora dela tambem,ok
