arquivo_b,partition,cell_line,timepoint_h,group_key,lote,res,otsu_eta,lap_var,vignette,var_map_sigma2
B1 12HR 1_png.rf.iGQ0raXb1cPFjLpTE8Qs.png,test,HUVEC,12,Controle+Saudavel||None||B1,Controle+Saudavel,nativo,0.83384,88.04,0.7771,7096.34
B1 12HR 1_png.rf.huPp6MA4TKEZBcGXSoLi.png,val,HUVEC,12,Originais (1)||None||B1,Originais (1),nativo,0.70072,50.55,0.836,4440.81
ct3_5_png.rf.rPD7kpqEkJ4PcSKpPkrP.png,val,SKOV,0,P1|CT|F15,P1,nativo,0.92903,245.03,0.9535,13590.92
B3 24h 1_png.rf.o0oNoNvk37LqpagxxqVo.png,val,HUVEC,24,Pré-Eclâmpsia||None||B3,Pré-Eclâmpsia,640,0.76323,144.97,0.9641,5837.95
B3 24H 1_png.rf.LPAu1wd0tAJfBCssFalf.png,val,HUVEC,24,LUIS RAW||PEP+GB||B3,LUIS RAW,nativo,0.75896,281.04,0.8035,5863.26
B3 24h 1_png.rf.gZIWOhlU4NcXdxLLJJZ2.png,val,HUVEC,24,Pré-Eclâmpsia||None||B3,Pré-Eclâmpsia,640,0.66268,68.24,0.7828,2117.2
B3 24H 1_png.rf.qfRsFXKWsC6TWRFF9Taw.png,train,HUVEC,24,Migração (PET e PEP) n3 - RAW||None||B3,Migração (PET e PEP) n3 - RAW,nativo,0.62796,25.29,0.7538,564.73
B3 24H 1_png.rf.k1iUYr5vYuEMBpfuVe2f.png,train,HUVEC,24,Migração (PET e PEP) n1 - RAW||PEP||B3,Migração (PET e PEP) n1 - RAW,nativo,0.57507,33.27,0.6675,355.59
B3 24H 1_png.rf.2JmsG9wGoR29jy6DRUHa.png,train,HUVEC,24,Migração (PET e PEP) n2 - RAW||PEP + NEB 5uM||B3,Migração (PET e PEP) n2 - RAW,nativo,0.63381,58.24,0.6983,1044.54
ct3_3_png.rf.vFYj9FMCGAqQ32xosxLR.png,train,SKOV,0,P1|CT|F13,P1,nativo,0.89397,203.76,0.986,12392.86
C6 24HR 2_png.rf.tHaJIce9FVY7cZYg4n8E.png,train,HUVEC,24,Originais (1)||None||C6,Originais (1),nativo,0.76803,37.59,0.8538,6644.57
A5 24HR 1_png.rf.CpfIcPI5krfxTtJFGjKH.png,test,HUVEC,24,Originais (1)||None||A5,Originais (1),nativo,0.70806,59.0,0.7354,3619.94
A5 24HR 1_png.rf.QWraD9H7IOqSfp8mznDQ.png,test,HUVEC,24,originais||None||A5,originais,nativo,0.78675,71.67,0.7652,7090.92
B4 0H 1_png.rf.UkNByK7H1jadGiO9HCAd.png,test,HUVEC,0,LUIS RAW||PEP+MCC||B4,LUIS RAW,nativo,0.68939,524.13,0.7758,4178.06
B4 0H 1_png.rf.Dz8OAD8IKrZ4Bd7eyGpT.png,train,HUVEC,0,Migração (PET e PEP) n1 - RAW||PEP||B4,Migração (PET e PEP) n1 - RAW,nativo,0.79937,232.91,0.6658,7901.56
B4 0H 1_png.rf.fnnFJZSxNbJIYzq62RBH.png,train,HUVEC,0,Migração (PET e PEP) n3 - RAW||None||B4,Migração (PET e PEP) n3 - RAW,nativo,0.68024,100.7,0.7105,2995.94
B4 0H 1_png.rf.ocKA8DGfji9fgwcSBwv6.png,val,HUVEC,0,Migração (PET e PEP) n2 - RAW||PEP + NEB 5uM||B4,Migração (PET e PEP) n2 - RAW,nativo,0.63543,148.74,0.7133,2954.39
B8 8H 2_png.rf.UaCpChb0ty8nCEeOICAn.png,val,HUVEC,8,LUIS RAW||PEP+MCC||B8,LUIS RAW,nativo,0.79771,336.16,0.8167,6694.25
E4 24H 1_png.rf.VApsLvqT7aWfeSFArkzu.png,val,HUVEC,24,LUIS RAW||PEP+MET3||E4,LUIS RAW,nativo,0.7627,255.86,0.781,6240.27
E4 24H 1_png.rf.WRsQKjX6ie0vtyCCCrGq.png,train,HUVEC,24,Migração (PET e PEP) n1 - RAW||PET||E4,Migração (PET e PEP) n1 - RAW,nativo,0.61127,28.6,0.6542,629.36
B4 24H 1_png.rf.b60wYuoI9jxCKCHE2l9q.png,test,HUVEC,24,LUIS RAW||PEP+MCC||B4,LUIS RAW,nativo,0.75133,165.01,0.8636,5233.16
B4 24h 1_png.rf.1X28TLOHfw99QR2YYvM9.png,val,HUVEC,24,Pré-Eclâmpsia||None||B4,Pré-Eclâmpsia,640,0.77249,114.7,0.8444,6303.47
B4 24H 1_png.rf.g6mdfx5q5C5lyvQAGYxU.png,train,HUVEC,24,Migração (PET e PEP) n1 - RAW||PEP||B4,Migração (PET e PEP) n1 - RAW,nativo,0.67377,73.99,0.6381,1564.29
B4 24H 1_png.rf.4r695chZzLmmnCG4yZPL.png,val,HUVEC,24,Migração (PET e PEP) n2 - RAW||PEP + NEB 5uM||B4,Migração (PET e PEP) n2 - RAW,nativo,0.61764,61.64,0.664,1496.55
B2 24H 1_png.rf.XBc86UvTsYYrkQT5Lmb2.png,train,HUVEC,24,LUIS RAW||PEP+MET3||B2,LUIS RAW,nativo,0.75015,214.85,0.7703,5418.34
B2 24H 1_png.rf.INyMxE58uzRFbh8B31Ps.png,train,HUVEC,24,Migração (PET e PEP) n3 - RAW||None||B2,Migração (PET e PEP) n3 - RAW,nativo,0.6551,27.9,0.6782,280.08
A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png,test,HUVEC,12,Controle+Saudavel||None||A1,Controle+Saudavel,640,0.69847,27.25,0.8825,3784.54
A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,test,HUVEC,12,Controle+Saudavel||None||A1,Controle+Saudavel,nativo,0.82441,94.73,0.7812,6867.29
A1 12HR 1_png.rf.XDKS23ySU3ItzW5Kv957.png,test,HUVEC,12,Originais (1)||None||A1,Originais (1),nativo,0.63207,19.96,0.7383,973.33
A7 0HR 1_png.rf.MypZ7P5e22YqROshUyHa.png,train,HUVEC,0,Originais (1)||None||A7,Originais (1),nativo,0.65306,225.93,0.7383,2878.1
A7 0HR 1_png.rf.K1SrVpQJXMVcmwZSUvfb.png,train,HUVEC,0,originais||None||A7,originais,nativo,0.67295,86.64,0.8239,2930.21
A1 12hr 2_png.rf.Zc7e1rWOmWcCj4dykv3Z.png,test,HUVEC,12,Controle+Saudavel||None||A1,Controle+Saudavel,640,0.76192,61.86,0.9233,6360.59
A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,test,HUVEC,12,Controle+Saudavel||None||A1,Controle+Saudavel,nativo,0.8235,97.7,0.8442,7609.99
A1 12HR 2_png.rf.OoCbkijic6aCx52coryw.png,test,HUVEC,12,Originais (1)||None||A1,Originais (1),nativo,0.67676,35.42,0.7985,2356.72
A3 24h 2_png.rf.FRjwfMYcf5xZAmW48pAr.png,val,HUVEC,24,Controle+Saudavel||None||A3,Controle+Saudavel,640,0.62459,51.09,0.7825,1486.99
A3 24H 2_png.rf.kS5CSoi5AQ1mWS6ij8tv.png,train,HUVEC,24,Migração (PET e PEP) n3 - RAW||None||A3,Migração (PET e PEP) n3 - RAW,nativo,0.61757,26.59,0.6116,261.31
A3 24H 2_png.rf.1DXhlCUFozCEwAiOJfiw.png,train,HUVEC,24,Migração (PET e PEP) n2 - RAW||PEP||A3,Migração (PET e PEP) n2 - RAW,nativo,0.73577,154.13,0.6625,4990.57
A3 24H 2_png.rf.TOtRUqMkxCrasCpSjZKO.png,test,HUVEC,24,LUIS RAW||PEP+GB||A3,LUIS RAW,nativo,0.82551,510.73,0.8769,5920.98
B1 0hr_1_png.rf.DUGXTEiLp7a24s7ag9dO.png,test,HUVEC,0,Controle+Saudavel||None||B1,Controle+Saudavel,640,0.70453,55.08,0.8666,4283.51
B1 0hr 1_png.rf.MsTYgRqpBawgbfwCxIBh.png,test,HUVEC,0,Controle+Saudavel||None||B1,Controle+Saudavel,640,0.6646,27.93,0.8999,2177.45
B1 0hr 1_png.rf.HQmAp3GBzLOJSBnrI49n.png,test,HUVEC,0,Controle+Saudavel||None||B1,Controle+Saudavel,640,0.67734,34.23,0.7878,1936.34
B1 0HR 1_png.rf.NGRx9n5aVbjBeYyAkrvc.png,val,HUVEC,0,Originais (1)||None||B1,Originais (1),nativo,0.70469,108.23,0.7555,4703.65
B1 0hr 1_png.rf.IpACHL1Orw6aFOfMt2L4.png,test,HUVEC,0,Controle+Saudavel||None||B1,Controle+Saudavel,640,0.60195,47.56,0.9671,1068.59
B1 0HR 1_png.rf.eIMkkfHeHfLEZ04ezC1L.png,test,HUVEC,0,Controle+Saudavel||None||B1,Controle+Saudavel,nativo,0.72446,123.03,0.8177,5619.65
Snap-14_18_png.rf.cTI14kZnt7qLocJDEl8J.png,train,SKOV,48,P2|CT|F14,P2,nativo,0.78233,81.98,0.9089,5299.44
Snap-14_63_png.rf.CP0h7e9qVBHWMIowPwi3.png,train,SKOV,24,P2|CT|F14,P2,nativo,0.7655,129.72,0.8496,5469.15
Snap-14_197_png.rf.BYX13QN3Hg5IwWB1K8CE.png,train,SKOV,24,P1|CT|F13,P1,nativo,0.77916,83.73,0.9017,6817.25
Snap-14_png.rf.s2v9VcqXVmUKf34AJR9n.png,train,SKOV,0,P2|CT|F13,P2,nativo,0.86747,106.31,0.8647,11194.97
Snap-14_137_png.rf.JGQAHR1rLHubpmhNmWKG.png,train,SKOV,48,P1|CT|F14,P1,nativo,0.7956,193.66,0.9456,4693.74
Snap-57_14_png.rf.zzuxYUS6GURsSfNtRXi0.png,train,SKOV,48,P2|CARBO+GEO|F11,P2,nativo,0.80352,191.42,0.9249,6004.61
Snap-57_163_png.rf.pDbnqWgyxSpfj13CWb0J.png,train,SKOV,48,P1|GEO+PTX|F11,P1,nativo,0.83244,240.6,0.9175,7668.91
Snap-57_223_png.rf.Y5JAUxICexxY7SL4iYkm.png,train,SKOV,24,P1|GEO+PTX|F11,P1,nativo,0.84796,174.54,0.9357,10018.8
Snap-57_png.rf.bdYboWX9ErOHYRCWsvjV.png,train,SKOV,0,P2|CARBO+GEO|F11,P2,nativo,0.93157,178.86,0.7878,11061.32
Snap-57_118_png.rf.ujk8XtRp7brOc2jVj3FQ.png,train,SKOV,24,P2|CARBO+GEO|F11,P2,nativo,0.79161,260.54,0.9309,4981.1
A2 24h 2_png.rf.vPEXFaeBDCIJ7xVoYjlS.png,train,HUVEC,24,Controle+Saudavel||None||A2,Controle+Saudavel,640,0.64812,74.67,0.7161,2389.03
A2 24h_2_png.rf.HAg44SJ1EekTkXtXLokT.png,train,HUVEC,24,Controle+Saudavel||None||A2,Controle+Saudavel,640,0.61346,76.5,0.8603,1885.02
A2 24H 2_png.rf.E5xmaghZdqaoko8wlaZh.png,test,HUVEC,24,Migração (PET e PEP) n2 - RAW||PEP||A2,Migração (PET e PEP) n2 - RAW,nativo,0.68741,94.94,0.8008,2817.24
A2 24H 2_png.rf.Ncwo4IoTmtPiUtCVQfYJ.png,train,HUVEC,24,Migração (PET e PEP) n3 - RAW||None||A2,Migração (PET e PEP) n3 - RAW,nativo,0.64367,20.76,0.6123,226.3
A2 24H 2_png.rf.HMaDbJj9CQExPlCGNrI6.png,train,HUVEC,24,LUIS RAW||PEP+MET3||A2,LUIS RAW,nativo,0.80138,981.66,0.9068,5732.49
C1 8hr 2_png.rf.vAjsWCBFyMVhrnXK1tJ1.png,train,HUVEC,8,Pré-Eclâmpsia||None||C1,Pré-Eclâmpsia,640,0.58628,27.9,0.7874,679.19
C1 8HR 2_png.rf.PMVIRdN64tpFyIzD2E33.png,train,HUVEC,8,Originais (1)||None||C1,Originais (1),nativo,0.63401,25.88,0.8053,1976.03
A2 0hr 1_png.rf.vZji6l7eNaGvhsdCUwH3.png,train,HUVEC,0,Controle+Saudavel||None||A2,Controle+Saudavel,640,0.68205,30.25,0.8754,4174.24
A2 0hr 1_png.rf.pKZJOPTdyTaUFCoQ0WkN.png,train,HUVEC,0,Controle+Saudavel||None||A2,Controle+Saudavel,640,0.73437,60.21,0.6902,5328.62
A2 0HR 1_png.rf.7xO098s3eZ9fJSiLuPHq.png,train,HUVEC,0,Originais (1)||None||A2,Originais (1),nativo,0.71468,137.98,0.8446,4439.44
A2 0HR 1_png.rf.8PMA4P9qg9rH3AjVYmde.png,train,HUVEC,0,Controle+Saudavel||None||A2,Controle+Saudavel,nativo,0.68374,100.36,0.867,3584.9
B6 0hr 1_png.rf.tP2kS9n37GFU0hMWW7mV.png,test,HUVEC,0,Pré-Eclâmpsia||None||B6,Pré-Eclâmpsia,640,0.64579,70.18,0.72,3231.25
B6 0HR 1_png.rf.G9IIgGta9Gbbj9yqetJW.png,test,HUVEC,0,Pré-Eclâmpsia||None||B6,Pré-Eclâmpsia,nativo,0.64562,71.08,0.7849,1309.31
B6 0HR 1_png.rf.DQKYy8uvjwNsc7uZUiaW.png,train,HUVEC,0,Originais (1)||None||B6,Originais (1),nativo,0.68974,93.51,0.7594,4333.62
B7 8hr 1_png.rf.SElaSihN8SWw6hPUO4yu.png,train,HUVEC,8,Controle+Saudavel||None||B7,Controle+Saudavel,640,0.57874,17.81,0.8013,384.01
B7 8hr_1_png.rf.U0VJcTDbcVdMQ9Gikaum.png,train,HUVEC,8,Controle+Saudavel||None||B7,Controle+Saudavel,640,0.57178,23.68,0.8328,831.06
B7 8HR 1_png.rf.U3U7uwlzmFkSpDnTdHXo.png,train,HUVEC,8,Controle+Saudavel||None||B7,Controle+Saudavel,nativo,0.6837,38.27,0.7989,3235.87
B7 8HR 1_png.rf.VIqewXz9Fg6rle55f6s4.png,train,HUVEC,8,Originais (1)||None||B7,Originais (1),nativo,0.69508,63.79,0.8166,3720.75
B1 0hr_2_png.rf.wWUkB0l85vJDlD6q526J.png,test,HUVEC,0,Controle+Saudavel||None||B1,Controle+Saudavel,640,0.72339,70.61,0.902,4869.46
B1 0hr 2_png.rf.XjumgmgMNkQhrRGLEgFA.png,test,HUVEC,0,Controle+Saudavel||None||B1,Controle+Saudavel,640,0.66,23.33,0.7892,1585.43
B1 0HR 2_png.rf.70abUpeVRRIpTW7eiJ6c.png,val,HUVEC,0,Originais (1)||None||B1,Originais (1),nativo,0.77223,165.24,0.7585,7481.87
B1 0HR 2_png.rf.GJOlprTE8cvwD4CrUmlP.png,test,HUVEC,0,Controle+Saudavel||None||B1,Controle+Saudavel,nativo,0.69306,79.64,0.7683,4437.59
B5 12hr 1_png.rf.zr4XJVjMImCf2kHNhYuv.png,train,HUVEC,12,Pré-Eclâmpsia||None||B5,Pré-Eclâmpsia,640,0.61122,40.75,0.824,1525.75
B5 12HR 1_png.rf.RtHZKiYSCyEezrDzpSXm.png,train,HUVEC,12,Pré-Eclâmpsia||None||B5,Pré-Eclâmpsia,nativo,0.74509,58.09,0.7986,5690.78
B5 12HR 1_png.rf.XqoVkA4DK3JbERfwmQPP.png,test,HUVEC,12,Originais (1)||None||B5,Originais (1),nativo,0.6679,33.48,0.8229,3390.41
B3 12hr 1_png.rf.zZhyC5IrePWDZDHRw4ae.png,train,HUVEC,12,Controle+Saudavel||None||B3,Controle+Saudavel,640,0.61521,30.76,0.7868,810.97
B3 12HR 1_png.rf.sXw2VuiBVAa9Aftwl9le.png,train,HUVEC,12,Controle+Saudavel||None||B3,Controle+Saudavel,nativo,0.76424,51.73,0.8432,7224.94
B3 12hr_1_png.rf.bFOaRTghkGRZY6ztTfJf.png,train,HUVEC,12,Controle+Saudavel||None||B3,Controle+Saudavel,640,0.57966,23.43,0.7152,723.33
B3 12HR 1_png.rf.CA0AC0OeRIZev8XhzkeB.png,train,HUVEC,12,Originais (1)||None||B3,Originais (1),nativo,0.68053,34.38,0.8415,3752.3
B6 12hr 1_png.rf.wMEDLQnrMWwVbcfKlQek.png,test,HUVEC,12,Pré-Eclâmpsia||None||B6,Pré-Eclâmpsia,640,0.61181,48.55,0.8408,1884.71
B6 12HR 1_png.rf.idTK2W5F5w99J9Cwj3Jh.png,train,HUVEC,12,Originais (1)||None||B6,Originais (1),nativo,0.63958,24.16,0.7556,1108.4
B6 12HR 1_png.rf.gMy5B0cpXrZXzyMCZhuv.png,test,HUVEC,12,Pré-Eclâmpsia||None||B6,Pré-Eclâmpsia,nativo,0.77858,63.1,0.7389,7249.31
A8 24HR _png.rf.CCbBLxCj5oId78BvgGDS.png,train,HUVEC,24,Originais (1)||None||A8,Originais (1),nativo,0.76634,75.87,0.7552,5663.38
A6 12HR 1_png.rf.z5yVztBu7o6y6SAZMnAA.png,train,HUVEC,12,Originais (1)||None||A6,Originais (1),nativo,0.67779,45.13,0.708,2280.15
A6 12HR 1_png.rf.rzX2QlGaj5WhraPoHbNp.png,train,HUVEC,12,originais||None||A6,originais,nativo,0.80905,73.45,0.7529,8093.84
B1 12HR 2_png.rf.FdfrHVnLB3ZNKlhPS8WD.png,val,HUVEC,12,Originais (1)||None||B1,Originais (1),nativo,0.70567,33.5,0.8139,4321.92
B1 12HR 2_png.rf.a2HuF9WMN6UNtiTLiFnr.png,val,HUVEC,12,originais||None||B1,originais,nativo,0.83417,126.92,0.8033,6408.3
C4 12HR 1_png.rf.EqgembSnrmnXBxolioKo.png,train,HUVEC,12,Originais (1)||None||C4,Originais (1),nativo,0.68314,28.66,0.7204,4089.35
C6 24HR 1_png.rf.IFOrJw5los4Q3fxu3iMl.png,train,HUVEC,24,Originais (1)||None||C6,Originais (1),nativo,0.75142,32.9,0.7509,5613.28
E8 8H 1_png.rf.d0fLnYxhr9KQ1hDPt1Lg.png,train,HUVEC,8,LUIS RAW||PEP+MCC||E8,LUIS RAW,nativo,0.80072,317.13,0.8802,7752.41
A8 0H 2_png.rf.WfgjN8XhKFohA9v414DX.png,train,HUVEC,0,LUIS RAW||PEP+MCC||A8,LUIS RAW,nativo,0.79463,373.33,0.8069,7348.38
D4 0HR 2_png.rf.EwNjDB9ss3gmM00iJqPT.png,test,HUVEC,0,originais||None||D4,originais,nativo,0.6729,131.11,0.8117,3770.39
A8 8HR 1_png.rf.FR3WD9dC9DpfpVWMB2SQ.png,train,HUVEC,8,originais||None||A8,originais,nativo,0.74827,83.21,0.8277,5940.45
A8 8HR 1_png.rf.dtanFTPPB7d3AAVn3zQY.png,train,HUVEC,8,Originais (1)||None||A8,Originais (1),nativo,0.77078,177.89,0.8394,6964.9
B5 8HR 1_png.rf.Ym4RLm5f7bEAlTD8XV4Q.png,test,HUVEC,8,Originais (1)||None||B5,Originais (1),nativo,0.64724,29.24,0.7783,1792.4
B5 8HR 1_png.rf.GCk3mrv2o7BUwQ2Jvluv.png,train,HUVEC,8,Controle+Saudavel||None||B5,Controle+Saudavel,nativo,0.67912,30.11,0.8202,2874.07
B5 8hr 1_png.rf.1ehEbiuK31GRY9MNmv2r.png,train,HUVEC,8,Controle+Saudavel||None||B5,Controle+Saudavel,640,0.53768,28.23,0.7902,620.79
D3 8HR 2_png.rf.LEuU784LmF86wgJYPaQU.png,train,HUVEC,8,Originais (1)||None||D3,Originais (1),nativo,0.66965,22.42,0.7855,3120.12
D3 8HR 2_png.rf.XTtOj0zYGn6s9BJ4BbNx.png,train,HUVEC,8,originais||None||D3,originais,nativo,0.74904,76.5,0.8512,5859.49
B3 0HR 2_png.rf.IrowMicDt4hLjxXOd20S.png,train,HUVEC,0,Originais (1)||None||B3,Originais (1),nativo,0.69968,81.55,0.7745,4712.2
B3 0HR 2_png.rf.RH1IVVjgxVFF0WrgAYm4.png,train,HUVEC,0,originais||None||B3,originais,nativo,0.62702,56.03,0.8372,1208.79
C3 8HR 1_png.rf.3ZBgwt8GCK0Md4Ee2BHb.png,train,HUVEC,8,Originais (1)||None||C3,Originais (1),nativo,0.59845,23.63,0.6988,1205.61
D2 8HR 1_png.rf.JJAiPwhyNLdQ4Rfi4uTD.png,val,HUVEC,8,Originais (1)||None||D2,Originais (1),nativo,0.62459,26.38,0.8007,1734.01
D2 8HR 1_png.rf.3P9RrHC5NedY6PXam8ub.png,val,HUVEC,8,originais||None||D2,originais,nativo,0.7491,173.2,0.8071,6052.87
Snap-13_png.rf.TDZyVXJDnI8SJNuM33dy.png,train,SKOV,0,P2|CT|F12,P2,nativo,0.87921,277.78,0.7825,9517.33
Snap-13_19_png.rf.b6sHGo2amM793rhoOAp1.png,train,SKOV,48,P2|CT|F13,P2,nativo,0.81533,160.69,0.9294,6121.83
Snap-13_138_png.rf.l88Miu2G7y8rOkIqtnCW.png,train,SKOV,48,P1|CT|F13,P1,nativo,0.78342,142.92,0.967,5130.87
Snap-13_64_png.rf.RyKN7O5yesCpISX8jvQV.png,train,SKOV,24,P2|CT|F13,P2,nativo,0.77836,130.16,0.8958,4915.12
Snap-13_243_png.rf.tUzcuWuytl6VQBEZn5pP.png,train,SKOV,72,P1|PTX|F8,P1,nativo,0.88111,327.56,0.8975,9787.41
Snap-13_198_png.rf.0xLGaLBejIuzOY4c8uT2.png,train,SKOV,24,P1|CT|F12,P1,nativo,0.77628,92.27,0.9296,6355.81
B7 12hr 2_png.rf.RhB5449wk7rwIdgUCPNc.png,train,HUVEC,12,Controle+Saudavel||None||B7,Controle+Saudavel,640,0.57016,25.89,0.8211,474.04
B7 12HR 2_png.rf.2naBscJhLFudgg7E7FPf.png,train,HUVEC,12,Controle+Saudavel||None||B7,Controle+Saudavel,nativo,0.78475,86.15,0.8645,7576.34
B7 12HR 2_png.rf.oKLSQmp6DHxDl6WHedwZ.png,train,HUVEC,12,Originais (1)||None||B7,Originais (1),nativo,0.61845,21.44,0.8187,1394.12
C8 12hr 1_png.rf.StaAYDi9jKXiNSmVkLL4.png,train,HUVEC,12,Pré-Eclâmpsia||None||C8,Pré-Eclâmpsia,640,0.69647,31.04,0.8319,1540.87
C8 12HR 1_png.rf.mrWyROl2QhvNznbHR9sy.png,train,HUVEC,12,Originais (1)||None||C8,Originais (1),nativo,0.82502,154.06,0.7966,6458.01
C8 8hr 2_png.rf.QKwFigCbMlR5UvD18WdR.png,train,HUVEC,8,Pré-Eclâmpsia||None||C8,Pré-Eclâmpsia,640,0.54088,35.33,0.8834,1004.14
C8 8HR 2_png.rf.GtOIvrjebfVcbHVdwBO9.png,train,HUVEC,8,Originais (1)||None||C8,Originais (1),nativo,0.7881,159.69,0.8352,8154.0
A1 24h 1_png.rf.TlQXP6CHdUFWS07zQImN.png,test,HUVEC,24,Controle+Saudavel||None||A1,Controle+Saudavel,640,0.70211,85.78,0.8849,3443.25
A1 24H 1_png.rf.AoYDb7eaorOVU7QenfmB.png,train,HUVEC,24,Migração (PET e PEP) n3 - RAW||None||A1,Migração (PET e PEP) n3 - RAW,nativo,0.67874,34.69,0.6912,349.43
A1 24H 1_png.rf.0vIMHmjL700gltziprXx.png,train,HUVEC,24,LUIS RAW||PEP||A1,LUIS RAW,nativo,0.75379,266.33,0.8027,5097.11
A1 24H 1_png.rf.LVoaaBXwUhRPFKNjtcC5.png,train,HUVEC,24,Migração (PET e PEP) n2 - RAW||PEP||A1,Migração (PET e PEP) n2 - RAW,nativo,0.65285,124.73,0.9029,2744.77
B6 12hr 2_png.rf.y4b1NNhMuInMAANEGR5y.png,test,HUVEC,12,Pré-Eclâmpsia||None||B6,Pré-Eclâmpsia,640,0.59016,23.43,0.7453,981.27
B6 12HR 2_png.rf.BMDqWV1RTxKKoPMgnLal.png,test,HUVEC,12,Pré-Eclâmpsia||None||B6,Pré-Eclâmpsia,nativo,0.78422,67.26,0.8433,7693.0
B6 12HR 2_png.rf.BhBG7QrbcqnQq3atIHW2.png,train,HUVEC,12,Originais (1)||None||B6,Originais (1),nativo,0.64488,31.02,0.8352,2683.77
B8 24h 1 _png.rf.VRJJ5SQ1mGJ3fW5YWRab.png,train,HUVEC,24,Pré-Eclâmpsia||None||B8,Pré-Eclâmpsia,640,0.71982,97.59,0.8313,3932.55
B8 24h 1_png.rf.N3qsR9ioYQUvIlolAAfM.png,val,HUVEC,24,Controle+Saudavel||None||B8,Controle+Saudavel,640,0.69161,63.81,0.8109,3155.71
B8 24H 1_png.rf.E5CzkDTGU7vgWmncCGCv.png,val,HUVEC,24,LUIS RAW||PEP+MCC||B8,LUIS RAW,nativo,0.72445,224.64,0.8029,3743.89
D1 8H 2_png.rf.1Guur0r0WOYFqgYbD8Ix.png,test,HUVEC,8,Migração (PET e PEP) n3 - RAW||None||D1,Migração (PET e PEP) n3 - RAW,nativo,0.72245,116.38,0.8166,5088.63
D1 8H 2_png.rf.QDHJAU6viLWqVuRsQP8L.png,train,HUVEC,8,Migração (PET e PEP) n2 - RAW||PET + NEB 1uM||D1,Migração (PET e PEP) n2 - RAW,nativo,0.68179,123.55,0.7554,3951.55
D1 8H 2_png.rf.SWULebjRubJoCPggvrgZ.png,train,HUVEC,8,LUIS RAW||PET||D1,LUIS RAW,nativo,0.80355,433.25,0.7504,7936.06
D3 8H 1_png.rf.3Pnm14NelVMxz7m2DnLI.png,val,HUVEC,8,Migração (PET e PEP) n3 - RAW||None||D3,Migração (PET e PEP) n3 - RAW,nativo,0.7152,166.33,0.6758,5269.52
D3 8H 1_png.rf.6I3dod8wB6YDO4ZLWh12.png,train,HUVEC,8,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D3,Migração (PET e PEP) n1 - RAW,nativo,0.63386,87.0,0.6837,1963.22
D3 8H 1_png.rf.6ah0Jg4O5oakLSomUxcX.png,test,HUVEC,8,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,Migração (PET e PEP) n2 - RAW,nativo,0.68875,108.84,0.7068,4838.82
A5 12HR 1_png.rf.IESDSkszuJatVJfvQ7PW.png,test,HUVEC,12,Originais (1)||None||A5,Originais (1),nativo,0.65097,28.61,0.7593,1220.08
A5 12HR 1_png.rf.1xA3zwCvRWDQRrGvHIhA.png,test,HUVEC,12,originais||None||A5,originais,nativo,0.80304,118.5,0.7486,8007.02
A7 12HR 1_png.rf.6BXSIYDC0NmpoaPAgKMQ.png,train,HUVEC,12,Originais (1)||None||A7,Originais (1),nativo,0.68441,44.06,0.7582,3049.52
A7 12HR 1_png.rf.izsMjIhbUB8VuAWUFhrt.png,train,HUVEC,12,originais||None||A7,originais,nativo,0.81263,145.62,0.8002,7960.48
A3 0hr 2_png.rf.KohL1mTNndjr4CLZYMxF.png,val,HUVEC,0,Controle+Saudavel||None||A3,Controle+Saudavel,640,0.60101,59.61,0.7607,2879.38
A3 0HR 2_png.rf.a0AY5M3kJRWyGB4d0dqH.png,train,HUVEC,0,Originais (1)||None||A3,Originais (1),nativo,0.66987,135.02,0.8142,2488.96
A3 0HR 2_png.rf.hZpokQPSOC5byLanjjIO.png,val,HUVEC,0,Controle+Saudavel||None||A3,Controle+Saudavel,nativo,0.65365,59.25,0.8389,2440.82
A5 24HR 2_png.rf.JBrJ8KO8uH9Jn3iTJvZf.png,test,HUVEC,24,Originais (1)||None||A5,Originais (1),nativo,0.75644,91.16,0.7444,5415.71
A5 24HR 2_png.rf.xE7wqG2pbN9OFXjVvNjl.png,test,HUVEC,24,originais||None||A5,originais,nativo,0.8077,121.17,0.8813,7721.6
C1 12HR 2_png.rf.OcIfPfUZwnSUShLaLbR6.png,train,HUVEC,12,Originais (1)||None||C1,Originais (1),nativo,0.70362,32.11,0.7925,4701.83
A2 0HR 2_png.rf.OO5XnE4RmaSV016MsOgg.png,train,HUVEC,0,Originais (1)||None||A2,Originais (1),nativo,0.7565,183.15,0.8325,6424.17
A2 0HR 2_png.rf.uZnHhBG7PNdQodX1DjwB.png,train,HUVEC,0,Controle+Saudavel||None||A2,Controle+Saudavel,nativo,0.67545,98.13,0.907,3078.35
A4 0hr 2_png.rf.ipPkfLfmEihsBmZiVwsH.png,train,HUVEC,0,Controle+Saudavel||None||A4,Controle+Saudavel,640,0.59922,60.98,0.7705,1953.76
A4 0HR 2_png.rf.rykHBscK23N6CFQg1aEp.png,train,HUVEC,0,Originais (1)||None||A4,Originais (1),nativo,0.72642,205.89,0.831,5351.17
