arquivo_b,stem_normalizado,linha_celular,timepoint_h,arquivo_a,pasta_a,group_key,lote,well,tratamento,estrato,excluida,resolucao,split_key,partition
D1 8HR 2_png.rf.zXqaP0fHqHbabD0CzjuF.png,d1 8hr 2,HUVEC,8,D1 8HR 2.tiff,HUVEC/8h,originais||None||D1,originais,D1,None,HUVEC|None,,ok_hash,SHARED__D1,train
A4 0HR 1_png.rf.flUKXJX958V29SztaqZp.png,a4 0hr 1,HUVEC,0,A4 0HR 1 (2).tiff,HUVEC/0h,Originais (1)||None||A4,Originais (1),A4,None,HUVEC|None,,ok_hash,SHARED__A4,train
A4 0HR 1_png.rf.lr0vF9oNfEZapbxfemLc.png,a4 0hr 1,HUVEC,0,A4 0HR 1.tiff,HUVEC/0h,originais||None||A4,originais,A4,None,HUVEC|None,,ok_hash,SHARED__A4,train
Snap-10_72_png.rf.n7hfG13etFn8yDPHlWXd.png,snap-10,SKOV,24,Snap-10.tiff,SKOV/24h,P2|CT|F10,P2,F10,CT,P2|CT,,ok_hash,P2|CT|F10,test
Snap-10_png.rf.yj7fOx6nAZtfK19C65wZ.png,snap-10,SKOV,0,Snap-10.tiff,SKOV/0h,P2|CT|F9,P2,F9,CT,P2|CT,,ok_hash,P2|CT|F9,train
Snap-10_206_png.rf.qsKnxTuSvux45mlYUYLk.png,snap-10,SKOV,24,Snap-10 (2).tiff,SKOV/24h,P1|CT|F9,P1,F9,CT,P1|CT,,ok_hash,P1|CT|F9,train
Snap-10_146_png.rf.J1zTbpCRqsOW6DtsIPzv.png,snap-10,SKOV,48,Snap-10 (2).tiff,SKOV/48h,P1|CT|F10,P1,F10,CT,P1|CT,,ok_hash,P1|CT|F10,train
Snap-10_27_png.rf.InxxspUYRgK57BBNVAEq.png,snap-10,SKOV,48,Snap-10.tiff,SKOV/48h,P2|CT|F10,P2,F10,CT,P2|CT,,ok_hash,P2|CT|F10,test
B3 12hr 2_png.rf.VGbRnN8WbzouxdvfefLU.png,b3 12hr 2,HUVEC,12,B3 12hr 2.tiff,HUVEC/12h,Controle+Saudavel||None||B3,Controle+Saudavel,B3,None,HUVEC|None,,ok_hash,Controle+Saudavel||None||B3,train
B3 12HR 2_png.rf.53uaZIgUjykC3AHiGB7Y.png,b3 12hr 2,HUVEC,12,,,Controle+Saudavel||None||B3,Controle+Saudavel,B3,None,HUVEC|None,,ok_nome_norm,Controle+Saudavel||None||B3,train
B3 12HR 2_png.rf.VqZIwhkvmfMWTtmwJvV6.png,b3 12hr 2,HUVEC,12,B3 12HR 2 (2).tiff,HUVEC/12h,Originais (1)||None||B3,Originais (1),B3,None,HUVEC|None,,ok_hash,SHARED__B3,train
B2 12hr 2_png.rf.aKY954Ar92bN45Dxpxoo.png,b2 12hr 2,HUVEC,12,,,Controle+Saudavel||None||B2,Controle+Saudavel,B2,None,HUVEC|None,,ok_nome_norm,Controle+Saudavel||None||B2,train
B2 12hr 2_png.rf.riSjsWM4RKaoLOeuGF4T.png,b2 12hr 2,HUVEC,12,B2 12hr 2.tiff,HUVEC/12h,Controle+Saudavel||None||B2,Controle+Saudavel,B2,None,HUVEC|None,,ok_hash,Controle+Saudavel||None||B2,train
B2 12HR 2_png.rf.nZ89rrtZ5eox9IpiBXkM.png,b2 12hr 2,HUVEC,12,B2 12HR 2 (2).tiff,HUVEC/12h,Originais (1)||None||B2,Originais (1),B2,None,HUVEC|None,,ok_hash,SHARED__B2,test
B2 12HR 2_png.rf.0Mjn05pgfeKpn7x2HoEU.png,b2 12hr 2,HUVEC,12,,,Controle+Saudavel||None||B2,Controle+Saudavel,B2,None,HUVEC|None,,ok_nome_norm,Controle+Saudavel||None||B2,train
B8 0hr 1_png.rf.Y8HPYsGls33ML8N4xLQ9.png,b8 0hr 1,HUVEC,0,,,Pré-Eclâmpsia||None||B8,Pré-Eclâmpsia,B8,None,HUVEC|None,,ok_nome_norm,Pré-Eclâmpsia||None||B8,train
B8 0HR 1_png.rf.wcI5BQBhMVPCzXKkI2w6.png,b8 0hr 1,HUVEC,0,,,Pré-Eclâmpsia||None||B8,Pré-Eclâmpsia,B8,None,HUVEC|None,,ok_nome_norm,Pré-Eclâmpsia||None||B8,train
B8 0hr 1_png.rf.knYV6A7txjzElFti8uaT.png,b8 0hr 1,HUVEC,0,B8 0hr 1.tiff,HUVEC/0h,Pré-Eclâmpsia||None||B8,Pré-Eclâmpsia,B8,None,HUVEC|None,,ok_hash,Pré-Eclâmpsia||None||B8,train
B8 0HR 1_png.rf.KqhRF7p7Gc814ztA2tAN.png,b8 0hr 1,HUVEC,0,B8 0HR 1 (2).tiff,HUVEC/0h,Originais (1)||None||B8,Originais (1),B8,None,HUVEC|None,,ok_hash,SHARED__B8,train
B1 24hr 2_png.rf.kOhjizJROLOCgNfM1IF5.png,b1 24hr 2,HUVEC,24,B1 24hr 2.tiff,HUVEC/24h,Controle+Saudavel||None||B1,Controle+Saudavel,B1,None,HUVEC|None,,ok_hash,Controle+Saudavel||None||B1,test
B1 24HR 2_png.rf.Ls9u8THJDkrAcAUiOT0Q.png,b1 24hr 2,HUVEC,24,,,Controle+Saudavel||None||B1,Controle+Saudavel,B1,None,HUVEC|None,,ok_nome_norm,Controle+Saudavel||None||B1,test
B2 24hr 2_png.rf.huSTBgPOlxWVtCE2FpNP.png,b2 24hr 2,HUVEC,24,,,Controle+Saudavel||None||B2,Controle+Saudavel,B2,None,HUVEC|None,,ok_nome_norm,Controle+Saudavel||None||B2,train
B2 24HR 2_png.rf.uTcx0z3WdLqlbwZI5Emi.png,b2 24hr 2,HUVEC,24,B2 24hr 2.tiff,HUVEC/24h,Controle+Saudavel||None||B2,Controle+Saudavel,B2,None,HUVEC|None,,ok_hash,Controle+Saudavel||None||B2,train
B7 0hr 1_png.rf.ksMD0pYm6qfnouVyBUlp.png,b7 0hr 1,HUVEC,0,B7 0hr 1.tiff,HUVEC/0h,Pré-Eclâmpsia||None||B7,Pré-Eclâmpsia,B7,None,HUVEC|None,,ok_hash,Pré-Eclâmpsia||None||B7,test
B7 0HR 1_png.rf.Ukn4ATZ5w0il9IzVsrtV.png,b7 0hr 1,HUVEC,0,B7 0HR 1 (2).tiff,HUVEC/0h,Originais (1)||None||B7,Originais (1),B7,None,HUVEC|None,,ok_hash,SHARED__B7,val
B7 0hr 1_png.rf.QYTRdRmCyko5payKjuNF.png,b7 0hr 1,HUVEC,0,,,Pré-Eclâmpsia||None||B7,Pré-Eclâmpsia,B7,None,HUVEC|None,,ok_nome_norm,Pré-Eclâmpsia||None||B7,test
B7 0HR 1_png.rf.kzoYnFCLdbukY0DFsrTm.png,b7 0hr 1,HUVEC,0,,,Pré-Eclâmpsia||None||B7,Pré-Eclâmpsia,B7,None,HUVEC|None,,ok_nome_norm,Pré-Eclâmpsia||None||B7,test
C7 0hr 2_png.rf.ncuQjQh19UrtWTYYtwgY.png,c7 0hr 2,HUVEC,0,C7 0hr 2.tiff,HUVEC/0h,Pré-Eclâmpsia||None||C7,Pré-Eclâmpsia,C7,None,HUVEC|None,,ok_hash,Pré-Eclâmpsia||None||C7,train
C7 0HR 2_png.rf.p7jzNkQk0PbCL4U2IsE2.png,c7 0hr 2,HUVEC,0,C7 0HR 2 (2).tiff,HUVEC/0h,Originais (1)||None||C7,Originais (1),C7,None,HUVEC|None,,ok_hash,Originais (1)||None||C7,train
A1 24h 2_png.rf.o9mYSgMZsKvkMpLuHnpZ.png,a1 24h 2,HUVEC,24,A1 24h 2.tiff,HUVEC/24h,Controle+Saudavel||None||A1,Controle+Saudavel,A1,None,HUVEC|None,,ok_hash,Controle+Saudavel||None||A1,val
A1 24H 2_png.rf.mCVQkyudUMkUKQP8oD3Z.png,a1 24h 2,HUVEC,24,A1 24H 2 (4).tiff,HUVEC/24h,Migração (PET e PEP) n3 - RAW||None||A1,Migração (PET e PEP) n3 - RAW,A1,None,HUVEC|None,,ok_hash,Migração (PET e PEP) n3 - RAW||None||A1,val
A1 24H 2_png.rf.XERqooMY6dKiS5aPsD5q.png,a1 24h 2,HUVEC,24,A1 24H 2 (3).tiff,HUVEC/24h,Migração (PET e PEP) n2 - RAW||PEP||A1,Migração (PET e PEP) n2 - RAW,A1,PEP,HUVEC|PEP,,ok_hash,Migração (PET e PEP) n2 - RAW||PEP||A1,train
B7 0hr 2_png.rf.prftfZd1LyffvhWEcvAV.png,b7 0hr 2,HUVEC,0,B7 0hr 2.tiff,HUVEC/0h,Controle+Saudavel||None||B7,Controle+Saudavel,B7,None,HUVEC|None,,ok_hash,Controle+Saudavel||None||B7,val
B7 0HR 2_png.rf.dMPgfORCcjwf92Kh6sCI.png,b7 0hr 2,HUVEC,0,B7 0HR 2 (2).tiff,HUVEC/0h,Originais (1)||None||B7,Originais (1),B7,None,HUVEC|None,,ok_hash,SHARED__B7,val
B7 0HR 2_png.rf.nntMFnTHGgBpH6aqtdYS.png,b7 0hr 2,HUVEC,0,,,Controle+Saudavel||None||B7,Controle+Saudavel,B7,None,HUVEC|None,,ok_nome_norm,Controle+Saudavel||None||B7,val
C7 0hr 1_png.rf.0KFwLe9lCE6WFiy10CUh.png,c7 0hr 1,HUVEC,0,C7 0hr 1.tiff,HUVEC/0h,Pré-Eclâmpsia||None||C7,Pré-Eclâmpsia,C7,None,HUVEC|None,,ok_hash,Pré-Eclâmpsia||None||C7,train
C7 0HR 1_png.rf.hMZ6n4BOgfQTtrExgc7u.png,c7 0hr 1,HUVEC,0,C7 0HR 1 (2).tiff,HUVEC/0h,Originais (1)||None||C7,Originais (1),C7,None,HUVEC|None,,ok_hash,Originais (1)||None||C7,train
Snap-07_70_png.rf.vNyGAtPWPJA0rF6FhxvN.png,snap-7,SKOV,24,Snap-07.tiff,SKOV/24h,P2|CT|F7,P2,F7,CT,P2|CT,,ok_hash,P2|CT|F7,train
Snap-07_204_png.rf.H0N5xKu4UYwZk6TNY3Xd.png,snap-7,SKOV,24,Snap-07 (2).tiff,SKOV/24h,P1|CT|F6,P1,F6,CT,P1|CT,,ok_hash,P1|CT|F6,test
Snap-07_png.rf.g6SCaXQJinM4lCI6wdd5.png,snap-7,SKOV,0,Snap-07.tiff,SKOV/0h,P2|CT|F6,P2,F6,CT,P2|CT,,ok_hash,P2|CT|F6,train
Snap-07_25_png.rf.XApzD0Pw1QxeCLShLeqI.png,snap-7,SKOV,48,Snap-07.tiff,SKOV/48h,P2|CT|F7,P2,F7,CT,P2|CT,,ok_hash,P2|CT|F7,train
Snap-07_144_png.rf.vfJMuF8YRLj9hUriVTPL.png,snap-7,SKOV,48,Snap-07 (2).tiff,SKOV/48h,P1|CT|F7,P1,F7,CT,P1|CT,,ok_hash,P1|CT|F7,val
Snap-33_37_png.rf.9no99MZvmBZOLsdg6Atx.png,snap-33,SKOV,48,Snap-33.tiff,SKOV/48h,P2|GEO|F3,P2,F3,GEO,P2|GEO,,ok_hash,P2|GEO|F3,test
Snap-33_82_png.rf.0OBavEsnW2E5DqKbGtgA.png,snap-33,SKOV,24,Snap-33.tiff,SKOV/24h,P2|GEO|F2,P2,F2,GEO,P2|GEO,,ok_hash,P2|GEO|F2,train
Snap-33_171_png.rf.E47tm0ycTBxOqSzcCzoG.png,snap-33,SKOV,48,Snap-33 (2).tiff,SKOV/48h,P1|GEO|F2,P1,F2,GEO,P1|GEO,,ok_hash,P1|GEO|F2,train
Snap-33_231_png.rf.JAemjrnP9ImKmVmpRfzn.png,snap-33,SKOV,24,Snap-33 (2).tiff,SKOV/24h,P1|GEO|F2,P1,F2,GEO,P1|GEO,,ok_hash,P1|GEO|F2,train
Snap-33_277_png.rf.VKo8X4odufnCCAnDoQ0P.png,snap-33,SKOV,72,Snap-33.tiff,SKOV/72h,P1|GEO|F13,P1,F13,GEO,P1|GEO,,ok_hash,P1|GEO|F13,train
Snap-33_png.rf.lRxwtWAAAbkEpA18HoVS.png,snap-33,SKOV,0,Snap-33.tiff,SKOV/0h,P2|GEO|F2,P2,F2,GEO,P2|GEO,,ok_hash,P2|GEO|F2,train
ct1_5_png.rf.xygVTmZfimx6b9L39l2C.png,ct1 5,SKOV,0,ct1_5.tiff,SKOV/0h,P1|CT|F5,P1,F5,CT,P1|CT,,ok_hash,P1|CT|F5,test
B1 8H 1_png.rf.1wxeEsithaDZPrKbJIk8.png,b1 8h 1,HUVEC,8,B1 8H 1 (3).tiff,HUVEC/8h,Migração (PET e PEP) n3 - RAW||None||B1,Migração (PET e PEP) n3 - RAW,B1,None,HUVEC|None,,ok_hash,Migração (PET e PEP) n3 - RAW||None||B1,train
B1 8H 1_png.rf.fqDTrXJGtwGnRUswH16c.png,b1 8h 1,HUVEC,8,B1 8H 1 (2).tiff,HUVEC/8h,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,Migração (PET e PEP) n2 - RAW,B1,PEP + NEB 1uM,HUVEC|PEP + NEB 1uM,,ok_hash,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,test
B1 8H 1_png.rf.xsq5BkCBkpc4G5otns1Z.png,b1 8h 1,HUVEC,8,B1 8H 1.tiff,HUVEC/8h,LUIS RAW||PEP||B1,LUIS RAW,B1,PEP,HUVEC|PEP,,ok_hash,LUIS RAW||PEP||B1,train
A3 12H 1_png.rf.1mSVqHM6KS3uhRK3e3lj.png,a3 12h 1,HUVEC,12,A3 12H 1 (3).tiff,HUVEC/12h,Migração (PET e PEP) n3 - RAW||None||A3,Migração (PET e PEP) n3 - RAW,A3,None,HUVEC|None,,ok_hash,Migração (PET e PEP) n3 - RAW||None||A3,train
A3 12H 1_png.rf.TU0BGVsD3XJqPwGYBsiu.png,a3 12h 1,HUVEC,12,A3 12H 1.tiff,HUVEC/12h,LUIS RAW||PEP+GB||A3,LUIS RAW,A3,PEP+GB,HUVEC|PEP+GB,,ok_hash,LUIS RAW||PEP+GB||A3,val
A3 12H 1_png.rf.6fx89SeDFqbbpHYdcuw7.png,a3 12h 1,HUVEC,12,A3 12H 1 (2).tiff,HUVEC/12h,Migração (PET e PEP) n2 - RAW||PEP||A3,Migração (PET e PEP) n2 - RAW,A3,PEP,HUVEC|PEP,,ok_hash,Migração (PET e PEP) n2 - RAW||PEP||A3,train
C3 8H 2_png.rf.2WnG1dTj6hfmtMmaSG3l.png,c3 8h 2,HUVEC,8,C3 8H 2 (3).tiff,HUVEC/8h,Migração (PET e PEP) n3 - RAW||None||C3,Migração (PET e PEP) n3 - RAW,C3,None,HUVEC|None,,ok_hash,Migração (PET e PEP) n3 - RAW||None||C3,train
C3 8H 2_png.rf.JQjUW9XY0QTRcyHYnnXJ.png,c3 8h 2,HUVEC,8,C3 8H 2.tiff,HUVEC/8h,Migração (PET e PEP) n1 - RAW||PEP + NEB 1uM||C3,Migração (PET e PEP) n1 - RAW,C3,PEP + NEB 1uM,HUVEC|PEP + NEB 1uM,,ok_hash,Migração (PET e PEP) n1 - RAW||PEP + NEB 1uM||C3,val
C3 8H 2_png.rf.xnMBFgGz1tFhAeE5Mh0m.png,c3 8h 2,HUVEC,8,C3 8H 2 (2).tiff,HUVEC/8h,Migração (PET e PEP) n2 - RAW||PET||C3,Migração (PET e PEP) n2 - RAW,C3,PET,HUVEC|PET,,ok_hash,Migração (PET e PEP) n2 - RAW||PET||C3,test
C3 12H 1_png.rf.8gC4xRzYoHNmtFsxKAAM.png,c3 12h 1,HUVEC,12,C3 12H 1 (3).tiff,HUVEC/12h,Migração (PET e PEP) n3 - RAW||None||C3,Migração (PET e PEP) n3 - RAW,C3,None,HUVEC|None,,ok_hash,Migração (PET e PEP) n3 - RAW||None||C3,train
C3 12H 1_png.rf.gufpoClgDJpZOljTqUiO.png,c3 12h 1,HUVEC,12,C3 12H 1 (2).tiff,HUVEC/12h,Migração (PET e PEP) n2 - RAW||PET||C3,Migração (PET e PEP) n2 - RAW,C3,PET,HUVEC|PET,,ok_hash,Migração (PET e PEP) n2 - RAW||PET||C3,test
C3 12H 1_png.rf.k3Ehizb9KQn1GS9CC4y2.png,c3 12h 1,HUVEC,12,C3 12H 1.tiff,HUVEC/12h,Migração (PET e PEP) n1 - RAW||PEP + NEB 1uM||C3,Migração (PET e PEP) n1 - RAW,C3,PEP + NEB 1uM,HUVEC|PEP + NEB 1uM,,ok_hash,Migração (PET e PEP) n1 - RAW||PEP + NEB 1uM||C3,val
A2 8H 1_png.rf.3QqxCZ8m0xBtItaJLTd2.png,a2 8h 1,HUVEC,8,A2 8H 1 (3).tiff,HUVEC/8h,Migração (PET e PEP) n3 - RAW||None||A2,Migração (PET e PEP) n3 - RAW,A2,None,HUVEC|None,,ok_hash,Migração (PET e PEP) n3 - RAW||None||A2,train
A2 8H 1_png.rf.6mANHGK2YRZI4BisA8Ei.png,a2 8h 1,HUVEC,8,A2 8H 1.tiff,HUVEC/8h,LUIS RAW||PEP+MET3||A2,LUIS RAW,A2,PEP+MET3,HUVEC|PEP+MET3,,ok_hash,LUIS RAW||PEP+MET3||A2,val
A2 8H 1_png.rf.xvZ2Owwq7kfNeQBUdLj1.png,a2 8h 1,HUVEC,8,A2 8H 1 (2).tiff,HUVEC/8h,Migração (PET e PEP) n2 - RAW||PEP||A2,Migração (PET e PEP) n2 - RAW,A2,PEP,HUVEC|PEP,,ok_hash,Migração (PET e PEP) n2 - RAW||PEP||A2,train
D2 0H 1_png.rf.3s7Eh5cqjrXy6cn56UBU.png,d2 0h 1,HUVEC,0,D2 0H 1 (2).tiff,HUVEC/0h,Migração (PET e PEP) n3 - RAW||None||D2,Migração (PET e PEP) n3 - RAW,D2,None,HUVEC|None,,ok_hash,Migração (PET e PEP) n3 - RAW||None||D2,test
D2 0H 1_png.rf.xovIJqlILOeUFQLHRyvb.png,d2 0h 1,HUVEC,0,D2 0H 1.tiff,HUVEC/0h,Migração (PET e PEP) n2 - RAW||PET + NEB 1uM||D2,Migração (PET e PEP) n2 - RAW,D2,PET + NEB 1uM,HUVEC|PET + NEB 1uM,,ok_hash,Migração (PET e PEP) n2 - RAW||PET + NEB 1uM||D2,test
C2 24HR 2_png.rf.MPADEI7GuMyp9bi3AkAx.png,c2 24hr 2,HUVEC,24,C2 24HR 2.tiff,HUVEC/24h,Originais (1)||None||C2,Originais (1),C2,None,HUVEC|None,,ok_hash,Originais (1)||None||C2,train
C1 24HR 1_png.rf.YPRq3IWss7VUaq3e3iGW.png,c1 24hr 1,HUVEC,24,C1 24HR 1.tiff,HUVEC/24h,Originais (1)||None||C1,Originais (1),C1,None,HUVEC|None,,ok_hash,Originais (1)||None||C1,val
A4 24HR _png.rf.SoP1Ps5jNnRx92pvO7dO.png,a4 24hr,HUVEC,24,A4 24HR .tiff,HUVEC/24h,Originais (1)||None||A4,Originais (1),A4,None,HUVEC|None,,ok_hash,SHARED__A4,train
C6 12HR 2_png.rf.QfuOOnhE4hgEtZc6n4FV.png,c6 12hr 2,HUVEC,12,C6 12HR 2.tiff,HUVEC/12h,Originais (1)||None||C6,Originais (1),C6,None,HUVEC|None,,ok_hash,Originais (1)||None||C6,val
A8 12HR 2_png.rf.VAU0OVpOBwbG6A1pJf3X.png,a8 12hr 2,HUVEC,12,A8 12HR 2 (2).tiff,HUVEC/12h,Originais (1)||None||A8,Originais (1),A8,None,HUVEC|None,,ok_hash,SHARED__A8,val
A8 12HR 2_png.rf.us5pv6GHD379VoqxMyqM.png,a8 12hr 2,HUVEC,12,A8 12HR 2.tiff,HUVEC/12h,originais||None||A8,originais,A8,None,HUVEC|None,,ok_hash,SHARED__A8,val
ptx2_5_png.rf.ZcYzvy2P9SDnI5FO7SZ3.png,ptx2 5,SKOV,0,ptx2_5.tiff,SKOV/0h,P1|PTX|F10,P1,F10,PTX,P1|PTX,,ok_hash,P1|PTX|F10,train
B2 0hr 1_png.rf.db9iQQ8HUhDl1bXRwF8r.png,b2 0hr 1,HUVEC,0,B2 0hr 1.tiff,HUVEC/0h,Controle+Saudavel||None||B2,Controle+Saudavel,B2,None,HUVEC|None,,ok_hash,Controle+Saudavel||None||B2,train
B2 0HR 1_png.rf.5zUWBCAzk9uVSqr7HPbp.png,b2 0hr 1,HUVEC,0,B2 0HR 1 (2).tiff,HUVEC/0h,Originais (1)||None||B2,Originais (1),B2,None,HUVEC|None,,ok_hash,SHARED__B2,test
B2 0HR 1_png.rf.rzJTQJsC1FX8HbufhcZr.png,b2 0hr 1,HUVEC,0,,,Controle+Saudavel||None||B2,Controle+Saudavel,B2,None,HUVEC|None,,ok_nome_norm,Controle+Saudavel||None||B2,train
B2 0hr 2_png.rf.fIFxz7VDzzqkj4zabua0.png,b2 0hr 2,HUVEC,0,B2 0hr 2.tiff,HUVEC/0h,Controle+Saudavel||None||B2,Controle+Saudavel,B2,None,HUVEC|None,,ok_hash,Controle+Saudavel||None||B2,train
B2 0hr 2_png.rf.NX9PehcIUtrbpP4AGDjt.png,b2 0hr 2,HUVEC,0,,,Controle+Saudavel||None||B2,Controle+Saudavel,B2,None,HUVEC|None,,ok_nome_norm,Controle+Saudavel||None||B2,train
B2 0HR 2_png.rf.YbEuLym6tx1G0ByLVH1s.png,b2 0hr 2,HUVEC,0,,,Controle+Saudavel||None||B2,Controle+Saudavel,B2,None,HUVEC|None,,ok_nome_norm,Controle+Saudavel||None||B2,train
B2 0HR 2_png.rf.cDHclAIceZElSA3dVBAx.png,b2 0hr 2,HUVEC,0,B2 0HR 2 (2).tiff,HUVEC/0h,Originais (1)||None||B2,Originais (1),B2,None,HUVEC|None,,ok_hash,SHARED__B2,test
C3 12HR 1_png.rf.k9cSExscEQguJR8FzubC.png,c3 12hr 1,HUVEC,12,C3 12HR 1.tiff,HUVEC/12h,Originais (1)||None||C3,Originais (1),C3,None,HUVEC|None,,ok_hash,Originais (1)||None||C3,train
B8 24HR 2_png.rf.b5g4X4XnMrKNqb9SQURi.png,b8 24hr 2,HUVEC,24,B8 24HR 2 (2).tiff,HUVEC/24h,Originais (1)||None||B8,Originais (1),B8,None,HUVEC|None,,ok_hash,SHARED__B8,train
B8 24HR 2_png.rf.ERLmHyV7djMflJp4wvGM.png,b8 24hr 2,HUVEC,24,B8 24HR 2.tiff,HUVEC/24h,originais||None||B8,originais,B8,None,HUVEC|None,,ok_hash,SHARED__B8,train
Snap-53_216_png.rf.ceY07VS1O3yBsoN0i4yF.png,snap-53,SKOV,24,Snap-53 (2).tiff,SKOV/24h,P1|GEO+PTX|F7,P1,F7,GEO+PTX,P1|GEO+PTX,,ok_hash,P1|GEO+PTX|F7,train
Snap-53_156_png.rf.2KewamwDRhiW6t7lbzHC.png,snap-53,SKOV,48,Snap-53 (2).tiff,SKOV/48h,P1|GEO+PTX|F7,P1,F7,GEO+PTX,P1|GEO+PTX,,ok_hash,P1|GEO+PTX|F7,train
Snap-53_png.rf.SPyaEqsIv6YUwm8RQELh.png,snap-53,SKOV,0,Snap-53.tiff,SKOV/0h,P2|CARBO+GEO|F7,P2,F7,CARBO+GEO,P2|CARBO+GEO,,ok_hash,P2|CARBO+GEO|F7,val
Snap-53_112_png.rf.y85Lfcr4yLHN2tGaM2NL.png,snap-53,SKOV,24,Snap-53.tiff,SKOV/24h,P2|CARBO+GEO|F7,P2,F7,CARBO+GEO,P2|CARBO+GEO,,ok_hash,P2|CARBO+GEO|F7,val
Snap-53_7_png.rf.2ct09e2HAorv0Sj4JVs5.png,snap-53,SKOV,48,Snap-53.tiff,SKOV/48h,P2|CARBO+GEO|F7,P2,F7,CARBO+GEO,P2|CARBO+GEO,,ok_hash,P2|CARBO+GEO|F7,val
C1 12HR 1_png.rf.gB0o6oQuTbhG8ZUNerJu.png,c1 12hr 1,HUVEC,12,C1 12HR 1.tiff,HUVEC/12h,Originais (1)||None||C1,Originais (1),C1,None,HUVEC|None,,ok_hash,Originais (1)||None||C1,val
D2 12HR 1_png.rf.p5hRLQSbnz5xkNGQSLyI.png,d2 12hr 1,HUVEC,12,D2 12HR 1 (2).tiff,HUVEC/12h,Originais (1)||None||D2,Originais (1),D2,None,HUVEC|None,,ok_hash,SHARED__D2,train
D2 12HR 1_png.rf.V6y5jkWZ8U2dauX4R8yb.png,d2 12hr 1,HUVEC,12,D2 12HR 1.tiff,HUVEC/12h,originais||None||D2,originais,D2,None,HUVEC|None,,ok_hash,SHARED__D2,train
B3 24H 2_png.rf.EyLWdlWUKIXMP6iPFvce.png,b3 24h 2,HUVEC,24,B3 24H 2.tiff,HUVEC/24h,LUIS RAW||PEP+GB||B3,LUIS RAW,B3,PEP+GB,HUVEC|PEP+GB,,ok_hash,LUIS RAW||PEP+GB||B3,train
B3 24H 2_png.rf.lz3tD9MuGQ7oyICLG9uX.png,b3 24h 2,HUVEC,24,B3 24H 2 (4).tiff,HUVEC/24h,Migração (PET e PEP) n3 - RAW||None||B3,Migração (PET e PEP) n3 - RAW,B3,None,HUVEC|None,,ok_hash,Migração (PET e PEP) n3 - RAW||None||B3,train
B3 24H 2_png.rf.PpupAz8GxRor2jDbCqF6.png,b3 24h 2,HUVEC,24,B3 24H 2 (2).tiff,HUVEC/24h,Migração (PET e PEP) n1 - RAW||PEP||B3,Migração (PET e PEP) n1 - RAW,B3,PEP,HUVEC|PEP,,ok_hash,Migração (PET e PEP) n1 - RAW||PEP||B3,train
B3 24H 2_png.rf.JIWJJuOjEyFnBTTqWboN.png,b3 24h 2,HUVEC,24,B3 24H 2 (3).tiff,HUVEC/24h,Migração (PET e PEP) n2 - RAW||PEP + NEB 5uM||B3,Migração (PET e PEP) n2 - RAW,B3,PEP + NEB 5uM,HUVEC|PEP + NEB 5uM,,ok_hash,Migração (PET e PEP) n2 - RAW||PEP + NEB 5uM||B3,train
D5 0HR 1_png.rf.SbuUvkEBfRb7XvbRCXbf.png,d5 0hr 1,HUVEC,0,D5 0HR 1.tiff,HUVEC/0h,originais||None||D5,originais,D5,None,HUVEC|None,,ok_hash,originais||None||D5,train
B7 8HR 2_png.rf.yDoXeIkOiLCyfJbfAIKB.png,b7 8hr 2,HUVEC,8,B7 8HR 2 (2).tiff,HUVEC/8h,Originais (1)||None||B7,Originais (1),B7,None,HUVEC|None,,ok_hash,SHARED__B7,val
B7 8hr 2_png.rf.31N2cJl5ULRNszuwGyOb.png,b7 8hr 2,HUVEC,8,B7 8hr 2.tiff,HUVEC/8h,Controle+Saudavel||None||B7,Controle+Saudavel,B7,None,HUVEC|None,,ok_hash,Controle+Saudavel||None||B7,val
B7 8HR 2_png.rf.6EowOoKvvsLORMwWwBzP.png,b7 8hr 2,HUVEC,8,,,Controle+Saudavel||None||B7,Controle+Saudavel,B7,None,HUVEC|None,,ok_nome_norm,Controle+Saudavel||None||B7,val
C2 8HR 1_png.rf.wLj3o7QBiTw4PQFnhYZK.png,c2 8hr 1,HUVEC,8,C2 8HR 1.tiff,HUVEC/8h,Originais (1)||None||C2,Originais (1),C2,None,HUVEC|None,,ok_hash,Originais (1)||None||C2,train
A8 0HR 1_png.rf.ywsuBpu9YgKyQg8WWxOB.png,a8 0hr 1,HUVEC,0,A8 0HR 1 (2).tiff,HUVEC/0h,Originais (1)||None||A8,Originais (1),A8,None,HUVEC|None,,ok_hash,SHARED__A8,val
A8 0HR 1_png.rf.NsYrX2Q0eYbZWXoghwTi.png,a8 0hr 1,HUVEC,0,A8 0HR 1.tiff,HUVEC/0h,originais||None||A8,originais,A8,None,HUVEC|None,,ok_hash,SHARED__A8,val
Snap-30_55_png.rf.6m4MweF1gXcaFnLD23yF.png,snap-30,SKOV,48,Snap-30.tiff,SKOV/48h,P2|CARBO|F14,P2,F14,CARBO,P2|CARBO,,ok_hash,P2|CARBO|F14,train
Snap-30_100_png.rf.DcdJxw6OPtMDzDx5c3Lq.png,snap-30,SKOV,24,Snap-30.tiff,SKOV/24h,P2|CARBO|F15,P2,F15,CARBO,P2|CARBO,,ok_hash,P2|CARBO|F15,train
