arquivo_b,stem_normalizado,arquivo_a,pasta_a,linha_celular,well_campo,timepoint_h,similaridade,margem_2o_melhor,status,experimento,tratamento,creation_dt,lote,trat_huvec,ctx_ambiguo
B7 12HR 1_png.rf.ctLu7rRENpG6jwIQGRSW.png,b7 12hr 1,,,HUVEC,B7,12,,,sem_candidato,,,,,,
B8 12HR 2_png.rf.CgwPldETMq6VOYEZmUsY.png,b8 12hr 2,B8 12HR 2 (2).tiff,HUVEC/12h,HUVEC,B8,12,1.0,0.4989,ok,,,,Originais (1),,
B8 12hr 2_png.rf.hBBqPLy4yOa4aCEa6DvE.png,b8 12hr 2,B8 12hr 2.tiff,HUVEC/12h,HUVEC,B8,12,0.9772,0.4806,ok,,,,Saudável,,
B8 12HR 2_png.rf.9iYVx629UA8lYga7s72P.png,b8 12hr 2,,,HUVEC,B8,12,,,sem_candidato,,,,,,
A1 24HR 2_png.rf.8ZCo4suYfwAmYJVAdrgi.png,a1 24hr 2,A1 24HR 2 (2).tiff,HUVEC/24h,HUVEC,A1,24,1.0,0.3044,ok,,,,Originais (1),,
A1 24HR 2_png.rf.QvfIHR0lQkYJbWTuhsBX.png,a1 24hr 2,A1 24HR 2.tiff,HUVEC/24h,HUVEC,A1,24,1.0,0.3044,ok,,,,originais,,
C7 8HR 1_png.rf.BLjG0NJpvYU22o7jYGgz.png,c7 8hr 1,C7 8HR 1 (2).tiff,HUVEC/8h,HUVEC,C7,8,1.0,0.3216,ok,,,,Originais (1),,
C7 8hr 1_png.rf.G3Sj8OMnkq6nHC5SOjbi.png,c7 8hr 1,C7 8hr 1.tiff,HUVEC/8h,HUVEC,C7,8,0.7433,0.0899,ambiguo,,,,Pré-Eclâmpsia,,
A5 0HR 2_png.rf.C9gm2A2fkupz9aW1u7b9.png,a5 0hr 2,A5 0HR 2 (2).tiff,HUVEC/0h,HUVEC,A5,0,1.0,0.5202,ok,,,,Originais (1),,
A5 0hr 2_png.rf.VU7ZStUnMIZCuBrc6l0k.png,a5 0hr 2,A5 0hr 2.tiff,HUVEC/0h,HUVEC,A5,0,0.6304,0.1574,ambiguo,,,,Pré-Eclâmpsia,,
A5 0HR 2_png.rf.Y8g6msImi3FtQjKV3Wp9.png,a5 0hr 2,,,HUVEC,A5,0,,,sem_candidato,,,,,,
A5 0hr_2_png.rf.JluxUjNY7fGnBncqTfdq.png,a5 0hr 2,A5 0hr_2.tiff,HUVEC/0h,HUVEC,A5,0,0.7753,0.2568,ok,,,,Pré-Eclâmpsia,,
C5 0HR 1_png.rf.Eq08r4rsYSmeLWqDM8ss.png,c5 0hr 1,C5 0HR 1.tiff,HUVEC/0h,HUVEC,C5,0,1.0,,ok,,,,Originais (1),,
B1 12hr 1_png.rf.Basp8dmX2exqZZBqydBx.png,b1 12hr 1,,,HUVEC,B1,12,,,sem_candidato,,,,,,
B1 12hr 1_png.rf.sRUPpw6VBKsEL7UWcuqg.png,b1 12hr 1,B1 12hr 1.tiff,HUVEC/12h,HUVEC,B1,12,0.9781,0.0745,ok,,,,Controle,,
B1 12hr_1_png.rf.dB4OztvLmzVa4BGq5jCN.png,b1 12hr 1,B1 12hr_1.tiff,HUVEC/12h,HUVEC,B1,12,0.9505,0.0184,ambiguo,,,,Saudável,,
B1 12hr 1_png.rf.MkOpH7SVtG5q4EYuFmK2.png,b1 12hr 1,,,HUVEC,B1,12,,,sem_candidato,,,,,,
B1 12HR 1_png.rf.iGQ0raXb1cPFjLpTE8Qs.png,b1 12hr 1,,,HUVEC,B1,12,,,sem_candidato,,,,,,
B1 12HR 1_png.rf.huPp6MA4TKEZBcGXSoLi.png,b1 12hr 1,B1 12HR 1 (2).tiff,HUVEC/12h,HUVEC,B1,12,1.0,0.2498,ok,,,,Originais (1),,
ct3_5_png.rf.rPD7kpqEkJ4PcSKpPkrP.png,ct3 5,ct3_5.tiff,SKOV/0h,SKOV,ct3_5,0,0.9997,,ok,P1,CT,,,,
B3 24h 1_png.rf.o0oNoNvk37LqpagxxqVo.png,b3 24h 1,B3 24h 1.tiff,HUVEC/24h,HUVEC,B3,24,0.5772,0.0872,ambiguo,,,,Pré-Eclâmpsia,,
B3 24H 1_png.rf.LPAu1wd0tAJfBCssFalf.png,b3 24h 1,B3 24H 1 (2).tiff,HUVEC/24h,HUVEC,B3,24,1.0,0.1357,ok,,,,LUIS RAW,PEP+GB,
B3 24h 1_png.rf.gZIWOhlU4NcXdxLLJJZ2.png,b3 24h 1,,,HUVEC,B3,24,,,sem_candidato,,,,,,
B3 24H 1_png.rf.qfRsFXKWsC6TWRFF9Taw.png,b3 24h 1,B3 24H 1 (5).tiff,HUVEC/24h,HUVEC,B3,24,1.0,0.1061,ok,,,,Migração (PET e PEP) n3 - RAW,,
B3 24H 1_png.rf.k1iUYr5vYuEMBpfuVe2f.png,b3 24h 1,B3 24H 1 (3).tiff,HUVEC/24h,HUVEC,B3,24,1.0,0.3567,ok,,,,Migração (PET e PEP) n1 - RAW,PEP,
B3 24H 1_png.rf.2JmsG9wGoR29jy6DRUHa.png,b3 24h 1,B3 24H 1 (4).tiff,HUVEC/24h,HUVEC,B3,24,1.0,0.1061,ok,,,,Migração (PET e PEP) n2 - RAW,PEP + NEB 5uM,
ct3_3_png.rf.vFYj9FMCGAqQ32xosxLR.png,ct3 3,ct3_3.tiff,SKOV/0h,SKOV,ct3_3,0,0.9995,,ok,P1,CT,,,,
C6 24HR 2_png.rf.tHaJIce9FVY7cZYg4n8E.png,c6 24hr 2,C6 24HR 2.tiff,HUVEC/24h,HUVEC,C6,24,1.0,,ok,,,,Originais (1),,
A5 24HR 1_png.rf.CpfIcPI5krfxTtJFGjKH.png,a5 24hr 1,A5 24HR 1 (2).tiff,HUVEC/24h,HUVEC,A5,24,1.0,0.1414,ok,,,,Originais (1),,
A5 24HR 1_png.rf.QWraD9H7IOqSfp8mznDQ.png,a5 24hr 1,A5 24HR 1.tiff,HUVEC/24h,HUVEC,A5,24,1.0,0.1414,ok,,,,originais,,
B4 0H 1_png.rf.UkNByK7H1jadGiO9HCAd.png,b4 0h 1,B4 0H 1.tiff,HUVEC/0h,HUVEC,B4,0,1.0,1.332,ok,,,,LUIS RAW,PEP+MCC,
B4 0H 1_png.rf.Dz8OAD8IKrZ4Bd7eyGpT.png,b4 0h 1,B4 0H 1 (2).tiff,HUVEC/0h,HUVEC,B4,0,1.0,0.1846,ok,,,,Migração (PET e PEP) n1 - RAW,PEP,
B4 0H 1_png.rf.fnnFJZSxNbJIYzq62RBH.png,b4 0h 1,B4 0H 1 (4).tiff,HUVEC/0h,HUVEC,B4,0,1.0,0.089,ok,,,,Migração (PET e PEP) n3 - RAW,,
B4 0H 1_png.rf.ocKA8DGfji9fgwcSBwv6.png,b4 0h 1,B4 0H 1 (3).tiff,HUVEC/0h,HUVEC,B4,0,1.0,0.089,ok,,,,Migração (PET e PEP) n2 - RAW,PEP + NEB 5uM,
B8 8H 2_png.rf.UaCpChb0ty8nCEeOICAn.png,b8 8h 2,B8 8H 2.tiff,HUVEC/8h,HUVEC,B8,8,1.0,,ok,,,,LUIS RAW,PEP+MCC,
E4 24H 1_png.rf.VApsLvqT7aWfeSFArkzu.png,e4 24h 1,E4 24H 1.tiff,HUVEC/24h,HUVEC,E4,24,1.0,1.0925,ok,,,,LUIS RAW,PEP+MET3,
E4 24H 1_png.rf.WRsQKjX6ie0vtyCCCrGq.png,e4 24h 1,E4 24H 1 (2).tiff,HUVEC/24h,HUVEC,E4,24,1.0,1.0925,ok,,,,Migração (PET e PEP) n1 - RAW,PET,
B4 24H 1_png.rf.b60wYuoI9jxCKCHE2l9q.png,b4 24h 1,B4 24H 1 (2).tiff,HUVEC/24h,HUVEC,B4,24,1.0,0.0992,ok,,,,LUIS RAW,PEP+MCC,
B4 24h 1_png.rf.1X28TLOHfw99QR2YYvM9.png,b4 24h 1,B4 24h 1.tiff,HUVEC/24h,HUVEC,B4,24,0.6135,0.3798,ambiguo,,,,Pré-Eclâmpsia,,
B4 24H 1_png.rf.g6mdfx5q5C5lyvQAGYxU.png,b4 24h 1,B4 24H 1 (3).tiff,HUVEC/24h,HUVEC,B4,24,1.0,0.0868,ok,,,,Migração (PET e PEP) n1 - RAW,PEP,
B4 24H 1_png.rf.4r695chZzLmmnCG4yZPL.png,b4 24h 1,B4 24H 1 (4).tiff,HUVEC/24h,HUVEC,B4,24,1.0,0.0601,ok,,,,Migração (PET e PEP) n2 - RAW,PEP + NEB 5uM,
B2 24H 1_png.rf.XBc86UvTsYYrkQT5Lmb2.png,b2 24h 1,B2 24H 1.tiff,HUVEC/24h,HUVEC,B2,24,1.0,1.625,ok,,,,LUIS RAW,PEP+MET3,
B2 24H 1_png.rf.INyMxE58uzRFbh8B31Ps.png,b2 24h 1,B2 24H 1 (2).tiff,HUVEC/24h,HUVEC,B2,24,1.0,0.2654,ok,,,,Migração (PET e PEP) n3 - RAW,,
A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png,a1 12hr 1,A1 12hr 1.tiff,HUVEC/12h,HUVEC,A1,12,0.3973,0.0825,ambiguo,,,,Controle,,
A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,a1 12hr 1,,,HUVEC,A1,12,,,sem_candidato,,,,,,
A1 12HR 1_png.rf.XDKS23ySU3ItzW5Kv957.png,a1 12hr 1,A1 12HR 1 (2).tiff,HUVEC/12h,HUVEC,A1,12,1.0,0.6779,ok,,,,Originais (1),,
A7 0HR 1_png.rf.MypZ7P5e22YqROshUyHa.png,a7 0hr 1,A7 0HR 1 (2).tiff,HUVEC/0h,HUVEC,A7,0,1.0,0.3658,ok,,,,Originais (1),,
A7 0HR 1_png.rf.K1SrVpQJXMVcmwZSUvfb.png,a7 0hr 1,A7 0HR 1.tiff,HUVEC/0h,HUVEC,A7,0,1.0,0.3658,ok,,,,originais,,
A1 12hr 2_png.rf.Zc7e1rWOmWcCj4dykv3Z.png,a1 12hr 2,,,HUVEC,A1,12,,,sem_candidato,,,,,,
A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,a1 12hr 2,A1 12hr 2.tiff,HUVEC/12h,HUVEC,A1,12,0.3796,-0.2027,ambiguo,,,,Controle,,
A1 12HR 2_png.rf.OoCbkijic6aCx52coryw.png,a1 12hr 2,A1 12HR 2 (2).tiff,HUVEC/12h,HUVEC,A1,12,1.0,0.5546,ok,,,,Originais (1),,
A3 24h 2_png.rf.FRjwfMYcf5xZAmW48pAr.png,a3 24h 2,A3 24h 2.tiff,HUVEC/24h,HUVEC,A3,24,0.962,0.279,ok,,,,Controle,,
A3 24H 2_png.rf.kS5CSoi5AQ1mWS6ij8tv.png,a3 24h 2,A3 24H 2 (4).tiff,HUVEC/24h,HUVEC,A3,24,1.0,0.1909,ok,,,,Migração (PET e PEP) n3 - RAW,,
A3 24H 2_png.rf.1DXhlCUFozCEwAiOJfiw.png,a3 24h 2,A3 24H 2 (3).tiff,HUVEC/24h,HUVEC,A3,24,1.0,0.1909,ok,,,,Migração (PET e PEP) n2 - RAW,PEP,
A3 24H 2_png.rf.TOtRUqMkxCrasCpSjZKO.png,a3 24h 2,A3 24H 2 (2).tiff,HUVEC/24h,HUVEC,A3,24,1.0,0.3272,ok,,,,LUIS RAW,PEP+GB,
B1 0hr_1_png.rf.DUGXTEiLp7a24s7ag9dO.png,b1 0hr 1,,,HUVEC,B1,0,,,sem_candidato,,,,,,
B1 0hr 1_png.rf.MsTYgRqpBawgbfwCxIBh.png,b1 0hr 1,,,HUVEC,B1,0,,,sem_candidato,,,,,,
B1 0hr 1_png.rf.HQmAp3GBzLOJSBnrI49n.png,b1 0hr 1,B1 0hr 1.tiff,HUVEC/0h,HUVEC,B1,0,0.9707,0.1284,ok,,,,Controle,,
B1 0HR 1_png.rf.NGRx9n5aVbjBeYyAkrvc.png,b1 0hr 1,B1 0HR 1 (2).tiff,HUVEC/0h,HUVEC,B1,0,1.0,0.1422,ok,,,,Originais (1),,
B1 0hr 1_png.rf.IpACHL1Orw6aFOfMt2L4.png,b1 0hr 1,,,HUVEC,B1,0,,,sem_candidato,,,,,,
B1 0HR 1_png.rf.eIMkkfHeHfLEZ04ezC1L.png,b1 0hr 1,B1 0hr_1.tiff,HUVEC/0h,HUVEC,B1,0,0.402,0.1934,ambiguo,,,,Saudável,,
Snap-14_18_png.rf.cTI14kZnt7qLocJDEl8J.png,snap-14,Snap-14.tiff,SKOV/48h,SKOV,snap-14,48,0.9995,0.1726,ok,P2,CT,,,,
Snap-14_63_png.rf.CP0h7e9qVBHWMIowPwi3.png,snap-14,Snap-14.tiff,SKOV/24h,SKOV,snap-14,24,0.9993,0.1886,ok,P2,CT,,,,
Snap-14_197_png.rf.BYX13QN3Hg5IwWB1K8CE.png,snap-14,Snap-14 (2).tiff,SKOV/24h,SKOV,snap-14,24,0.9996,0.1981,ok,P1,CT,,,,
Snap-14_png.rf.s2v9VcqXVmUKf34AJR9n.png,snap-14,Snap-14.tiff,SKOV/0h,SKOV,snap-14,0,0.9997,0.1635,ok,P2,CT,,,,
Snap-14_137_png.rf.JGQAHR1rLHubpmhNmWKG.png,snap-14,Snap-14 (2).tiff,SKOV/48h,SKOV,snap-14,48,0.9995,0.1631,ok,P1,CT,,,,
Snap-57_14_png.rf.zzuxYUS6GURsSfNtRXi0.png,snap-57,Snap-57.tiff,SKOV/48h,SKOV,snap-57,48,0.9995,0.2606,ok,P2,CARBO+GEO,,,,
Snap-57_163_png.rf.pDbnqWgyxSpfj13CWb0J.png,snap-57,Snap-57 (2).tiff,SKOV/48h,SKOV,snap-57,48,0.9995,0.2454,ok,P1,GEO+PTX,,,,
Snap-57_223_png.rf.Y5JAUxICexxY7SL4iYkm.png,snap-57,Snap-57 (2).tiff,SKOV/24h,SKOV,snap-57,24,0.9996,0.2474,ok,P1,GEO+PTX,,,,
Snap-57_png.rf.bdYboWX9ErOHYRCWsvjV.png,snap-57,Snap-57.tiff,SKOV/0h,SKOV,snap-57,0,0.9997,0.2454,ok,P2,CARBO+GEO,,,,
Snap-57_118_png.rf.ujk8XtRp7brOc2jVj3FQ.png,snap-57,Snap-57.tiff,SKOV/24h,SKOV,snap-57,24,0.9984,0.2836,ok,P2,CARBO+GEO,,,,
A2 24h 2_png.rf.vPEXFaeBDCIJ7xVoYjlS.png,a2 24h 2,A2 24h 2.tiff,HUVEC/24h,HUVEC,A2,24,0.9675,0.0,ambiguo,,,,Controle,,
A2 24h_2_png.rf.HAg44SJ1EekTkXtXLokT.png,a2 24h 2,A2 24h_2.tiff,HUVEC/24h,HUVEC,A2,24,0.9471,0.0475,ambiguo,,,,Controle,,
A2 24H 2_png.rf.E5xmaghZdqaoko8wlaZh.png,a2 24h 2,A2 24H 2 (3).tiff,HUVEC/24h,HUVEC,A2,24,1.0,0.0992,ok,,,,Migração (PET e PEP) n2 - RAW,PEP,
A2 24H 2_png.rf.Ncwo4IoTmtPiUtCVQfYJ.png,a2 24h 2,A2 24H 2 (4).tiff,HUVEC/24h,HUVEC,A2,24,1.0,0.693,ok,,,,Migração (PET e PEP) n3 - RAW,,
A2 24H 2_png.rf.HMaDbJj9CQExPlCGNrI6.png,a2 24h 2,A2 24H 2 (2).tiff,HUVEC/24h,HUVEC,A2,24,1.0,0.5113,ok,,,,LUIS RAW,PEP+MET3,
C1 8hr 2_png.rf.vAjsWCBFyMVhrnXK1tJ1.png,c1 8hr 2,C1 8hr 2.tiff,HUVEC/8h,HUVEC,C1,8,0.9725,0.2188,ok,,,,Pré-Eclâmpsia,,
C1 8HR 2_png.rf.PMVIRdN64tpFyIzD2E33.png,c1 8hr 2,C1 8HR 2 (2).tiff,HUVEC/8h,HUVEC,C1,8,1.0,0.2231,ok,,,,Originais (1),,
A2 0hr 1_png.rf.vZji6l7eNaGvhsdCUwH3.png,a2 0hr 1,,,HUVEC,A2,0,,,sem_candidato,,,,,,
A2 0hr 1_png.rf.pKZJOPTdyTaUFCoQ0WkN.png,a2 0hr 1,A2 0hr 1.tiff,HUVEC/0h,HUVEC,A2,0,0.9766,0.0871,ok,,,,Controle,,
A2 0HR 1_png.rf.7xO098s3eZ9fJSiLuPHq.png,a2 0hr 1,A2 0HR 1 (2).tiff,HUVEC/0h,HUVEC,A2,0,1.0,0.0991,ok,,,,Originais (1),,
A2 0HR 1_png.rf.8PMA4P9qg9rH3AjVYmde.png,a2 0hr 1,,,HUVEC,A2,0,,,sem_candidato,,,,,,
B6 0hr 1_png.rf.tP2kS9n37GFU0hMWW7mV.png,b6 0hr 1,B6 0hr 1.tiff,HUVEC/0h,HUVEC,B6,0,0.9534,0.1559,ok,,,,Pré-Eclâmpsia,,
B6 0HR 1_png.rf.G9IIgGta9Gbbj9yqetJW.png,b6 0hr 1,,,HUVEC,B6,0,,,sem_candidato,,,,,,
B6 0HR 1_png.rf.DQKYy8uvjwNsc7uZUiaW.png,b6 0hr 1,B6 0HR 1 (2).tiff,HUVEC/0h,HUVEC,B6,0,1.0,0.1973,ok,,,,Originais (1),,
B7 8hr 1_png.rf.SElaSihN8SWw6hPUO4yu.png,b7 8hr 1,B7 8hr 1.tiff,HUVEC/8h,HUVEC,B7,8,0.9731,0.1849,ok,,,,Saudável,,
B7 8hr_1_png.rf.U0VJcTDbcVdMQ9Gikaum.png,b7 8hr 1,B7 8hr_1.tiff,HUVEC/8h,HUVEC,B7,8,0.8943,0.1677,ok,,,,Saudável,,
B7 8HR 1_png.rf.U3U7uwlzmFkSpDnTdHXo.png,b7 8hr 1,,,HUVEC,B7,8,,,sem_candidato,,,,,,
B7 8HR 1_png.rf.VIqewXz9Fg6rle55f6s4.png,b7 8hr 1,B7 8HR 1 (2).tiff,HUVEC/8h,HUVEC,B7,8,1.0,0.2304,ok,,,,Originais (1),,
B1 0hr_2_png.rf.wWUkB0l85vJDlD6q526J.png,b1 0hr 2,B1 0hr_2.tiff,HUVEC/0h,HUVEC,B1,0,0.4356,-0.0625,ambiguo,,,,Saudável,,
B1 0hr 2_png.rf.XjumgmgMNkQhrRGLEgFA.png,b1 0hr 2,B1 0hr 2.tiff,HUVEC/0h,HUVEC,B1,0,0.9724,0.115,ok,,,,Controle,,
B1 0HR 2_png.rf.70abUpeVRRIpTW7eiJ6c.png,b1 0hr 2,B1 0HR 2 (2).tiff,HUVEC/0h,HUVEC,B1,0,1.0,0.1375,ok,,,,Originais (1),,
B1 0HR 2_png.rf.GJOlprTE8cvwD4CrUmlP.png,b1 0hr 2,,,HUVEC,B1,0,,,sem_candidato,,,,,,
B5 12hr 1_png.rf.zr4XJVjMImCf2kHNhYuv.png,b5 12hr 1,B5 12hr 1.tiff,HUVEC/12h,HUVEC,B5,12,0.9377,0.2867,ok,,,,Pré-Eclâmpsia,,
B5 12HR 1_png.rf.RtHZKiYSCyEezrDzpSXm.png,b5 12hr 1,,,HUVEC,B5,12,,,sem_candidato,,,,,,
B5 12HR 1_png.rf.XqoVkA4DK3JbERfwmQPP.png,b5 12hr 1,B5 12HR 1 (2).tiff,HUVEC/12h,HUVEC,B5,12,1.0,0.3404,ok,,,,Originais (1),,
B3 12hr 1_png.rf.zZhyC5IrePWDZDHRw4ae.png,b3 12hr 1,B3 12hr 1.tiff,HUVEC/12h,HUVEC,B3,12,0.947,0.0984,ok,,,,Saudável,,
B3 12HR 1_png.rf.sXw2VuiBVAa9Aftwl9le.png,b3 12hr 1,,,HUVEC,B3,12,,,sem_candidato,,,,,,
B3 12hr_1_png.rf.bFOaRTghkGRZY6ztTfJf.png,b3 12hr 1,B3 12hr_1.tiff,HUVEC/12h,HUVEC,B3,12,0.955,0.0997,ok,,,,Saudável,,
B3 12HR 1_png.rf.CA0AC0OeRIZev8XhzkeB.png,b3 12hr 1,B3 12HR 1 (2).tiff,HUVEC/12h,HUVEC,B3,12,1.0,0.274,ok,,,,Originais (1),,
B6 12hr 1_png.rf.wMEDLQnrMWwVbcfKlQek.png,b6 12hr 1,B6 12hr 1.tiff,HUVEC/12h,HUVEC,B6,12,0.9611,0.3642,ok,,,,Pré-Eclâmpsia,,
B6 12HR 1_png.rf.idTK2W5F5w99J9Cwj3Jh.png,b6 12hr 1,B6 12HR 1 (2).tiff,HUVEC/12h,HUVEC,B6,12,1.0,0.4086,ok,,,,Originais (1),,
B6 12HR 1_png.rf.gMy5B0cpXrZXzyMCZhuv.png,b6 12hr 1,,,HUVEC,B6,12,,,sem_candidato,,,,,,
A8 24HR _png.rf.CCbBLxCj5oId78BvgGDS.png,a8 24hr,A8 24HR .tiff,HUVEC/24h,HUVEC,A8,24,1.0,,ok,,,,Originais (1),,
A6 12HR 1_png.rf.z5yVztBu7o6y6SAZMnAA.png,a6 12hr 1,A6 12HR 1 (2).tiff,HUVEC/12h,HUVEC,A6,12,1.0,0.3134,ok,,,,Originais (1),,
A6 12HR 1_png.rf.rzX2QlGaj5WhraPoHbNp.png,a6 12hr 1,A6 12HR 1.tiff,HUVEC/12h,HUVEC,A6,12,1.0,0.3134,ok,,,,originais,,
B1 12HR 2_png.rf.FdfrHVnLB3ZNKlhPS8WD.png,b1 12hr 2,B1 12HR 2 (2).tiff,HUVEC/12h,HUVEC,B1,12,1.0,0.5227,ok,,,,Originais (1),,
B1 12HR 2_png.rf.a2HuF9WMN6UNtiTLiFnr.png,b1 12hr 2,B1 12HR 2.tiff,HUVEC/12h,HUVEC,B1,12,1.0,0.5227,ok,,,,originais,,
C4 12HR 1_png.rf.EqgembSnrmnXBxolioKo.png,c4 12hr 1,C4 12HR 1.tiff,HUVEC/12h,HUVEC,C4,12,1.0,,ok,,,,Originais (1),,
C6 24HR 1_png.rf.IFOrJw5los4Q3fxu3iMl.png,c6 24hr 1,C6 24HR 1.tiff,HUVEC/24h,HUVEC,C6,24,1.0,,ok,,,,Originais (1),,
E8 8H 1_png.rf.d0fLnYxhr9KQ1hDPt1Lg.png,e8 8h 1,E8 8H 1.tiff,HUVEC/8h,HUVEC,E8,8,1.0,,ok,,,,LUIS RAW,PEP+MCC,
A8 0H 2_png.rf.WfgjN8XhKFohA9v414DX.png,a8 0h 2,A8 0H 2.tiff,HUVEC/0h,HUVEC,A8,0,1.0,,ok,,,,LUIS RAW,PEP+MCC,
D4 0HR 2_png.rf.EwNjDB9ss3gmM00iJqPT.png,d4 0hr 2,D4 0HR 2.tiff,HUVEC/0h,HUVEC,D4,0,1.0,,ok,,,,originais,,
A8 8HR 1_png.rf.FR3WD9dC9DpfpVWMB2SQ.png,a8 8hr 1,A8 8HR 1.tiff,HUVEC/8h,HUVEC,A8,8,1.0,0.5173,ok,,,,originais,,
A8 8HR 1_png.rf.dtanFTPPB7d3AAVn3zQY.png,a8 8hr 1,A8 8HR 1 (2).tiff,HUVEC/8h,HUVEC,A8,8,1.0,0.5173,ok,,,,Originais (1),,
B5 8HR 1_png.rf.Ym4RLm5f7bEAlTD8XV4Q.png,b5 8hr 1,B5 8HR 1 (2).tiff,HUVEC/8h,HUVEC,B5,8,1.0,0.1895,ok,,,,Originais (1),,
B5 8HR 1_png.rf.GCk3mrv2o7BUwQ2Jvluv.png,b5 8hr 1,,,HUVEC,B5,8,,,sem_candidato,,,,,,
B5 8hr 1_png.rf.1ehEbiuK31GRY9MNmv2r.png,b5 8hr 1,B5 8hr 1.tiff,HUVEC/8h,HUVEC,B5,8,0.9643,0.1491,ok,,,,Saudável,,
D3 8HR 2_png.rf.LEuU784LmF86wgJYPaQU.png,d3 8hr 2,D3 8HR 2 (2).tiff,HUVEC/8h,HUVEC,D3,8,1.0,0.4996,ok,,,,Originais (1),,
D3 8HR 2_png.rf.XTtOj0zYGn6s9BJ4BbNx.png,d3 8hr 2,D3 8HR 2.tiff,HUVEC/8h,HUVEC,D3,8,1.0,0.4997,ok,,,,originais,,
B3 0HR 2_png.rf.IrowMicDt4hLjxXOd20S.png,b3 0hr 2,B3 0HR 2 (2).tiff,HUVEC/0h,HUVEC,B3,0,1.0,0.1476,ok,,,,Originais (1),,
B3 0HR 2_png.rf.RH1IVVjgxVFF0WrgAYm4.png,b3 0hr 2,B3 0HR 2.tiff,HUVEC/0h,HUVEC,B3,0,1.0,0.1476,ok,,,,originais,,
C3 8HR 1_png.rf.3ZBgwt8GCK0Md4Ee2BHb.png,c3 8hr 1,C3 8HR 1.tiff,HUVEC/8h,HUVEC,C3,8,1.0,,ok,,,,Originais (1),,
D2 8HR 1_png.rf.JJAiPwhyNLdQ4Rfi4uTD.png,d2 8hr 1,D2 8HR 1 (2).tiff,HUVEC/8h,HUVEC,D2,8,1.0,0.4283,ok,,,,Originais (1),,
D2 8HR 1_png.rf.3P9RrHC5NedY6PXam8ub.png,d2 8hr 1,D2 8HR 1.tiff,HUVEC/8h,HUVEC,D2,8,1.0,0.4283,ok,,,,originais,,
Snap-13_png.rf.TDZyVXJDnI8SJNuM33dy.png,snap-13,Snap-13.tiff,SKOV/0h,SKOV,snap-13,0,0.9998,0.2251,ok,P2,CT,,,,
Snap-13_19_png.rf.b6sHGo2amM793rhoOAp1.png,snap-13,Snap-13.tiff,SKOV/48h,SKOV,snap-13,48,0.9994,0.2387,ok,P2,CT,,,,
Snap-13_138_png.rf.l88Miu2G7y8rOkIqtnCW.png,snap-13,Snap-13 (2).tiff,SKOV/48h,SKOV,snap-13,48,0.9994,0.2247,ok,P1,CT,,,,
Snap-13_64_png.rf.RyKN7O5yesCpISX8jvQV.png,snap-13,Snap-13.tiff,SKOV/24h,SKOV,snap-13,24,0.9992,0.2322,ok,P2,CT,,,,
Snap-13_243_png.rf.tUzcuWuytl6VQBEZn5pP.png,snap-13,Snap-13.tiff,SKOV/72h,SKOV,snap-13,72,0.9988,0.2381,ok,P1,PTX,,,,
Snap-13_198_png.rf.0xLGaLBejIuzOY4c8uT2.png,snap-13,Snap-13 (2).tiff,SKOV/24h,SKOV,snap-13,24,0.9995,0.232,ok,P1,CT,,,,
B7 12hr 2_png.rf.RhB5449wk7rwIdgUCPNc.png,b7 12hr 2,B7 12hr 2.tiff,HUVEC/12h,HUVEC,B7,12,0.9759,0.2126,ok,,,,Saudável,,
B7 12HR 2_png.rf.2naBscJhLFudgg7E7FPf.png,b7 12hr 2,,,HUVEC,B7,12,,,sem_candidato,,,,,,
B7 12HR 2_png.rf.oKLSQmp6DHxDl6WHedwZ.png,b7 12hr 2,B7 12HR 2 (2).tiff,HUVEC/12h,HUVEC,B7,12,1.0,0.2271,ok,,,,Originais (1),,
C8 12hr 1_png.rf.StaAYDi9jKXiNSmVkLL4.png,c8 12hr 1,C8 12hr 1.tiff,HUVEC/12h,HUVEC,C8,12,0.8381,0.1972,ok,,,,Pré-Eclâmpsia,,
C8 12HR 1_png.rf.mrWyROl2QhvNznbHR9sy.png,c8 12hr 1,C8 12HR 1 (2).tiff,HUVEC/12h,HUVEC,C8,12,1.0,0.3271,ok,,,,Originais (1),,
C8 8hr 2_png.rf.QKwFigCbMlR5UvD18WdR.png,c8 8hr 2,C8 8hr 2.tiff,HUVEC/8h,HUVEC,C8,8,0.8591,0.1242,ok,,,,Pré-Eclâmpsia,,
C8 8HR 2_png.rf.GtOIvrjebfVcbHVdwBO9.png,c8 8hr 2,C8 8HR 2 (2).tiff,HUVEC/8h,HUVEC,C8,8,1.0,0.248,ok,,,,Originais (1),,
A1 24h 1_png.rf.TlQXP6CHdUFWS07zQImN.png,a1 24h 1,A1 24h 1.tiff,HUVEC/24h,HUVEC,A1,24,0.6452,0.6033,ambiguo,,,,Controle,,
A1 24H 1_png.rf.AoYDb7eaorOVU7QenfmB.png,a1 24h 1,A1 24H 1 (4).tiff,HUVEC/24h,HUVEC,A1,24,1.0,0.4023,ok,,,,Migração (PET e PEP) n3 - RAW,,
