ordem,pasta_triagem,adjudicado_depois_como,cell_line,analysis_unit,timepoint_h,campo,area_pct_whst,arquivo_overlay,whst_input_file,motivo,pasta_correta?,categoria_sugerida,confianca
84,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n2 - RAW||PEP||A2,24,2,67.931,HUVEC__Migra_o_PET_e_PEP_n2_RAW_PEP_A2__tp24h__2__A2_24H_2_3__8c3064543d.jpg,8c3064543d__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp24h__A2_24H_2_3.tiff,,,,
85,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,0,2,85.534,HUVEC__Migra_o_PET_e_PEP_n2_RAW_PET_NEB_5uM_D3__tp00h__2__D3_0H_2_2__074ae97d16.jpg,074ae97d16__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp0h__D3_0H_2_2.tiff,,,,
86,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,8,1,34.637,HUVEC__Migra_o_PET_e_PEP_n2_RAW_PET_NEB_5uM_D3__tp08h__1__D3_8H_1_2__a41e7eccaa.jpg,a41e7eccaa__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp8h__D3_8H_1_2.tiff,,,,
87,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,8,2,33.761,HUVEC__Migra_o_PET_e_PEP_n2_RAW_PET_NEB_5uM_D3__tp08h__2__D3_8H_2_2__8db9535923.jpg,8db9535923__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp8h__D3_8H_2_2.tiff,,,,
88,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,12,1,44.05,HUVEC__Migra_o_PET_e_PEP_n2_RAW_PET_NEB_5uM_D3__tp12h__1__D3_12H_1_2__6b8d096cd6.jpg,6b8d096cd6__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp12h__D3_12H_1_2.tiff,,,,
89,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,12,2,46.72,HUVEC__Migra_o_PET_e_PEP_n2_RAW_PET_NEB_5uM_D3__tp12h__2__D3_12H_2_2__3dea5f7bdf.jpg,3dea5f7bdf__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp12h__D3_12H_2_2.tiff,,,,
90,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,24,1,42.255,HUVEC__Migra_o_PET_e_PEP_n2_RAW_PET_NEB_5uM_D3__tp24h__1__D3_24H_1_2__b74ccec3d4.jpg,b74ccec3d4__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp24h__D3_24H_1_2.tiff,,,,
91,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,24,2,51.686,HUVEC__Migra_o_PET_e_PEP_n2_RAW_PET_NEB_5uM_D3__tp24h__2__D3_24H_2_2__313ff6b3d6.jpg,313ff6b3d6__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp24h__D3_24H_2_2.tiff,,,,
92,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n3 - RAW||None||D1,0,1,39.833,HUVEC__Migra_o_PET_e_PEP_n3_RAW_None_D1__tp00h__1__D1_0H_1_3__590e6c1504.jpg,590e6c1504__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp0h__D1_0H_1_3.tiff,,,,
93,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n3 - RAW||None||D1,8,1,46.625,HUVEC__Migra_o_PET_e_PEP_n3_RAW_None_D1__tp08h__1__D1_8H_1_3__54c61f325d.jpg,54c61f325d__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp8h__D1_8H_1_3.tiff,,,,
94,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n3 - RAW||None||D1,8,2,16.654,HUVEC__Migra_o_PET_e_PEP_n3_RAW_None_D1__tp08h__2__D1_8H_2__246463cc3a.jpg,246463cc3a__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp8h__D1_8H_2.tiff,,,,
95,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n3 - RAW||None||D1,12,1,69.25,HUVEC__Migra_o_PET_e_PEP_n3_RAW_None_D1__tp12h__1__D1_12H_1_3__ad9f9e8e56.jpg,ad9f9e8e56__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp12h__D1_12H_1_3.tiff,,,,
96,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n3 - RAW||None||D1,12,2,92.334,HUVEC__Migra_o_PET_e_PEP_n3_RAW_None_D1__tp12h__2__D1_12H_2_3__61972712e8.jpg,61972712e8__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp12h__D1_12H_2_3.tiff,,,,
97,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n3 - RAW||None||D4,0,1,40.238,HUVEC__Migra_o_PET_e_PEP_n3_RAW_None_D4__tp00h__1__D4_0H_1_3__72ec8e45a1.jpg,72ec8e45a1__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp0h__D4_0H_1_3.tiff,,,,
98,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n3 - RAW||None||D4,0,2,89.432,HUVEC__Migra_o_PET_e_PEP_n3_RAW_None_D4__tp00h__2__D4_0H_2_3__6e6e66cf02.jpg,6e6e66cf02__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp0h__D4_0H_2_3.tiff,,,,
99,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n3 - RAW||None||D4,8,1,42.402,HUVEC__Migra_o_PET_e_PEP_n3_RAW_None_D4__tp08h__1__D4_8H_1_3__62cb1d4bdc.jpg,62cb1d4bdc__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp8h__D4_8H_1_3.tiff,,,,
100,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n3 - RAW||None||D4,8,2,87.037,HUVEC__Migra_o_PET_e_PEP_n3_RAW_None_D4__tp08h__2__D4_8H_2_3__c07bc84c98.jpg,c07bc84c98__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp8h__D4_8H_2_3.tiff,,,,
101,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n3 - RAW||None||D4,12,1,72.64,HUVEC__Migra_o_PET_e_PEP_n3_RAW_None_D4__tp12h__1__D4_12H_1_3__db5f1d05ce.jpg,db5f1d05ce__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp12h__D4_12H_1_3.tiff,,,,
102,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n3 - RAW||None||D4,12,2,89.506,HUVEC__Migra_o_PET_e_PEP_n3_RAW_None_D4__tp12h__2__D4_12H_2_3__de4591208a.jpg,de4591208a__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp12h__D4_12H_2_3.tiff,,,,
103,_SEG_RUIM/_super,,HUVEC,Migração (PET e PEP) n3 - RAW||None||D4,24,1,73.602,HUVEC__Migra_o_PET_e_PEP_n3_RAW_None_D4__tp24h__1__D4_24H_1_3__219024d892.jpg,219024d892__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp24h__D4_24H_1_3.tiff,,,,
104,_SEG_RUIM/_super,,HUVEC,Originais (1)||None||A1,0,1,38.19,HUVEC__Originais_1_None_A1__tp00h__1__A1_0HR_1_2__acb23080b8.jpg,acb23080b8__HUVEC__Originais_1_None_A1__tp0h__A1_0HR_1_2.tiff,,,,
105,_SEG_RUIM/_super,,HUVEC,Originais (1)||None||A1,8,1,20.817,HUVEC__Originais_1_None_A1__tp08h__1__A1_8HR_1_2__ba096361b8.jpg,ba096361b8__HUVEC__Originais_1_None_A1__tp8h__A1_8HR_1_2.tiff,,,,
106,_SEG_RUIM/_super,,HUVEC,Originais (1)||None||A1,8,2,23.489,HUVEC__Originais_1_None_A1__tp08h__2__A1_8HR_2_2__f9a5587463.jpg,f9a5587463__HUVEC__Originais_1_None_A1__tp8h__A1_8HR_2_2.tiff,,,,
107,_SEG_RUIM/_super,,HUVEC,Originais (1)||None||A1,12,1,48.008,HUVEC__Originais_1_None_A1__tp12h__1__A1_12HR_1_2__e8f27e802d.jpg,e8f27e802d__HUVEC__Originais_1_None_A1__tp12h__A1_12HR_1_2.tiff,,,,
108,_SEG_RUIM/_super,,HUVEC,Originais (1)||None||A1,12,2,35.689,HUVEC__Originais_1_None_A1__tp12h__2__A1_12HR_2_2__3bd025364d.jpg,3bd025364d__HUVEC__Originais_1_None_A1__tp12h__A1_12HR_2_2.tiff,,,,
109,_SEG_RUIM/_super,,HUVEC,Originais (1)||None||A1,24,1,64.502,HUVEC__Originais_1_None_A1__tp24h__1__A1_24HR_1_2__7f4a54ced3.jpg,7f4a54ced3__HUVEC__Originais_1_None_A1__tp24h__A1_24HR_1_2.tiff,,,,
110,_SEG_RUIM/_super,,HUVEC,Originais (1)||None||A1,24,2,35.943,HUVEC__Originais_1_None_A1__tp24h__2__A1_24HR_2_2__0c9eecd4e4.jpg,0c9eecd4e4__HUVEC__Originais_1_None_A1__tp24h__A1_24HR_2_2.tiff,,,,
111,_SEG_RUIM/_super,,HUVEC,Originais (1)||None||A5,8,1,35.47,HUVEC__Originais_1_None_A5__tp08h__1__A5_8HR_1_2__402aa9005a.jpg,402aa9005a__HUVEC__Originais_1_None_A5__tp8h__A5_8HR_1_2.tiff,,,,
112,_SEG_RUIM/_super,,HUVEC,Originais (1)||None||A5,8,2,22.277,HUVEC__Originais_1_None_A5__tp08h__2__A5_8HR_2_2__b55011ddef.jpg,b55011ddef__HUVEC__Originais_1_None_A5__tp8h__A5_8HR_2_2.tiff,,,,
113,_SEG_RUIM/_super,,HUVEC,Originais (1)||None||A5,12,1,41.13,HUVEC__Originais_1_None_A5__tp12h__1__A5_12HR_1_2__1e53de2f60.jpg,1e53de2f60__HUVEC__Originais_1_None_A5__tp12h__A5_12HR_1_2.tiff,,,,
114,_SEG_RUIM/_super,,HUVEC,Originais (1)||None||A5,12,2,18.376,HUVEC__Originais_1_None_A5__tp12h__2__A5_12HR_2_2__8380cf36f6.jpg,8380cf36f6__HUVEC__Originais_1_None_A5__tp12h__A5_12HR_2_2.tiff,,,,
115,_SEG_RUIM/_super,,HUVEC,Originais (1)||None||A5,24,1,61.022,HUVEC__Originais_1_None_A5__tp24h__1__A5_24HR_1_2__915659805f.jpg,915659805f__HUVEC__Originais_1_None_A5__tp24h__A5_24HR_1_2.tiff,,,,
116,_SEG_RUIM/_super,,HUVEC,Originais (1)||None||A5,24,2,50.977,HUVEC__Originais_1_None_A5__tp24h__2__A5_24HR_2_2__1b7a6d4b5b.jpg,1b7a6d4b5b__HUVEC__Originais_1_None_A5__tp24h__A5_24HR_2_2.tiff,,,,
117,_SEG_RUIM/_super,,HUVEC,Originais (1)||None||B5,0,2,22.321,HUVEC__Originais_1_None_B5__tp00h__2__B5_0HR_2_2__a27829f2e8.jpg,a27829f2e8__HUVEC__Originais_1_None_B5__tp0h__B5_0HR_2_2.tiff,,,,
118,_SEG_RUIM/_super,,HUVEC,Originais (1)||None||B5,8,1,15.09,HUVEC__Originais_1_None_B5__tp08h__1__B5_8HR_1_2__b907ae85dd.jpg,b907ae85dd__HUVEC__Originais_1_None_B5__tp8h__B5_8HR_1_2.tiff,,,,
119,_SEG_RUIM/_super,,HUVEC,Originais (1)||None||B5,8,2,17.072,HUVEC__Originais_1_None_B5__tp08h__2__B5_8HR_2_2__dc452cba48.jpg,dc452cba48__HUVEC__Originais_1_None_B5__tp8h__B5_8HR_2_2.tiff,,,,
120,_SEG_RUIM/_super,,HUVEC,Originais (1)||None||B5,12,1,10.233,HUVEC__Originais_1_None_B5__tp12h__1__B5_12HR_1_2__a3e15c9ecc.jpg,a3e15c9ecc__HUVEC__Originais_1_None_B5__tp12h__B5_12HR_1_2.tiff,,,,
121,_SEG_RUIM/_super,,HUVEC,Originais (1)||None||B5,12,2,15.976,HUVEC__Originais_1_None_B5__tp12h__2__B5_12HR_2_2__0836fc4ee3.jpg,0836fc4ee3__HUVEC__Originais_1_None_B5__tp12h__B5_12HR_2_2.tiff,,,,
122,_SEG_RUIM/_super,,HUVEC,Originais (1)||None||B5,24,1,19.445,HUVEC__Originais_1_None_B5__tp24h__1__B5_24HR__67aac5fafc.jpg,67aac5fafc__HUVEC__Originais_1_None_B5__tp24h__B5_24HR.tiff,,,,
123,_SEG_RUIM/_super,,HUVEC,Originais (1)||None||D1,24,1,11.519,HUVEC__Originais_1_None_D1__tp24h__1__D1_24HR_1_2__0bdbd51083.jpg,0bdbd51083__HUVEC__Originais_1_None_D1__tp24h__D1_24HR_1_2.tiff,,,,
124,_SEG_RUIM/_super,,HUVEC,Pré-Eclâmpsia||None||B6,12,1,19.549,HUVEC__Pr_Ecl_mpsia_None_B6__tp12h__1__B6_12hr_1__15dfa1f8f7.jpg,15dfa1f8f7__HUVEC__Pr_-Ecl_mpsia_None_B6__tp12h__B6_12hr_1.tiff,,,,
125,_SEG_RUIM/_super,,HUVEC,Pré-Eclâmpsia||None||B6,12,2,49.34,HUVEC__Pr_Ecl_mpsia_None_B6__tp12h__2__B6_12hr_2__447267f1f8.jpg,447267f1f8__HUVEC__Pr_-Ecl_mpsia_None_B6__tp12h__B6_12hr_2.tiff,,,,
126,_SEG_RUIM/_super,,HUVEC,Pré-Eclâmpsia||None||B6,24,1,0.274,HUVEC__Pr_Ecl_mpsia_None_B6__tp24h__1__B6_24h_1__fbe637bf41.jpg,fbe637bf41__HUVEC__Pr_-Ecl_mpsia_None_B6__tp24h__B6_24h_1.tiff,,,,
127,_SEG_RUIM/_super,,HUVEC,Saudável||None||B1,12,1,25.072,HUVEC__Controle_Saudavel_None_B1__tp12h__1__B1_12hr_1__ba850ac4ac.jpg,ba850ac4ac__HUVEC__Controle+Saudavel_None_B1__tp12h__B1_12hr_1.tiff,,,,
128,_SEG_RUIM/_super,,HUVEC,originais||None||A1,0,1,12.494,HUVEC__originais_None_A1__tp00h__1__A1_0HR_1__b4e873c613.jpg,b4e873c613__HUVEC__originais_None_A1__tp0h__A1_0HR_1.tiff,,,,
129,_SEG_RUIM/_super,,HUVEC,originais||None||A1,0,2,30.903,HUVEC__originais_None_A1__tp00h__2__A1_0HR_2__8bf826e872.jpg,8bf826e872__HUVEC__originais_None_A1__tp0h__A1_0HR_2.tiff,,,,
130,_SEG_RUIM/_super,,HUVEC,originais||None||A1,8,1,36.085,HUVEC__originais_None_A1__tp08h__1__A1_8HR_1__19b5407474.jpg,19b5407474__HUVEC__originais_None_A1__tp8h__A1_8HR_1.tiff,,,,
131,_SEG_RUIM/_super,,HUVEC,originais||None||A1,8,2,43.687,HUVEC__originais_None_A1__tp08h__2__A1_8HR_2__10c73cd55a.jpg,10c73cd55a__HUVEC__originais_None_A1__tp8h__A1_8HR_2.tiff,,,,
132,_SEG_RUIM/_super,,HUVEC,originais||None||A1,24,2,14.11,HUVEC__originais_None_A1__tp24h__2__A1_24HR_2__7d8b79a5ad.jpg,7d8b79a5ad__HUVEC__originais_None_A1__tp24h__A1_24HR_2.tiff,,,,
133,_SEG_RUIM/_super,,HUVEC,originais||None||A5,0,1,26.026,HUVEC__originais_None_A5__tp00h__1__A5_0HR_1__e4bb99f05d.jpg,e4bb99f05d__BASELINE__HUVEC__originais_None_A5__tp0h__A5_0HR_1.tiff,,,,
134,_SEG_RUIM/_super,,HUVEC,originais||None||A5,8,1,67.754,HUVEC__originais_None_A5__tp08h__1__A5_8HR_1__a99d3e28ae.jpg,a99d3e28ae__HUVEC__originais_None_A5__tp8h__A5_8HR_1.tiff,,,,
135,_SEG_RUIM/_super,,HUVEC,originais||None||A5,12,1,22.582,HUVEC__originais_None_A5__tp12h__1__A5_12HR_1__b83dc2f0a0.jpg,b83dc2f0a0__HUVEC__originais_None_A5__tp12h__A5_12HR_1.tiff,,,,
136,_SEG_RUIM/_super,,HUVEC,originais||None||A5,24,1,46.376,HUVEC__originais_None_A5__tp24h__1__A5_24HR_1__a7bed1b95d.jpg,a7bed1b95d__HUVEC__originais_None_A5__tp24h__A5_24HR_1.tiff,,,,
137,_SEG_RUIM/_super,,HUVEC,originais||None||B5,0,1,75.491,HUVEC__originais_None_B5__tp00h__1__B5_0HR_1__bdd482f7dc.jpg,bdd482f7dc__HUVEC__originais_None_B5__tp0h__B5_0HR_1.tiff,,,,
138,_SEG_RUIM/_super,,HUVEC,originais||None||B5,8,2,21.037,HUVEC__originais_None_B5__tp08h__2__B5_8HR_2__5402a99d17.jpg,5402a99d17__HUVEC__originais_None_B5__tp8h__B5_8HR_2.tiff,,,,
139,_SEG_RUIM/_super,,HUVEC,originais||None||B5,12,2,15.404,HUVEC__originais_None_B5__tp12h__2__B5_12HR_2__c47de367f7.jpg,c47de367f7__HUVEC__originais_None_B5__tp12h__B5_12HR_2.tiff,,,,
140,_SEG_RUIM/_super,,HUVEC,originais||None||B5,24,1,40.204,HUVEC__originais_None_B5__tp24h__1__B5_24HR_1__984fac6443.jpg,984fac6443__HUVEC__originais_None_B5__tp24h__B5_24HR_1.tiff,,,,
141,_SEG_RUIM/_super,,HUVEC,originais||None||D4,0,1,17.387,HUVEC__originais_None_D4__tp00h__1__D4_0HR_1__cd14eeaab0.jpg,cd14eeaab0__HUVEC__originais_None_D4__tp0h__D4_0HR_1.tiff,,,,
142,_SEG_RUIM/_super,,HUVEC,originais||None||D4,12,1,15.77,HUVEC__originais_None_D4__tp12h__1__D4_12HR_1__32105a21ed.jpg,32105a21ed__HUVEC__originais_None_D4__tp12h__D4_12HR_1.tiff,,,,
143,_SEG_RUIM/_super,,HUVEC,originais||None||D4,12,2,7.45,HUVEC__originais_None_D4__tp12h__2__D4_12HR_2__bcc023dcdc.jpg,bcc023dcdc__HUVEC__originais_None_D4__tp12h__D4_12HR_2.tiff,,,,
144,_SEG_RUIM/_super,,HUVEC,originais||None||D4,24,1,3.316,HUVEC__originais_None_D4__tp24h__1__D4_24HR_1__f676cb2911.jpg,f676cb2911__HUVEC__originais_None_D4__tp24h__D4_24HR_1.tiff,,,,
145,_SEG_RUIM/_super,,HUVEC,originais||None||D4,24,2,0.449,HUVEC__originais_None_D4__tp24h__2__D4_24HR_2__3bb0ffa3c2.jpg,3bb0ffa3c2__HUVEC__originais_None_D4__tp24h__D4_24HR_2.tiff,,,,
146,_SEG_RUIM/_super,,SKOV-3,P1|CT|F10,48,F10,27.95,SKOV-3__P1_CT_F10__tp48h__F10__Snap_10_2__b683f7cf68.jpg,b683f7cf68__SKOV-3__P1_CT_F10__tp48h__Snap-10_2.tiff,,,,
147,_SEG_RUIM/_super,,SKOV-3,P1|CT|F8,24,F8,39.505,SKOV-3__P1_CT_F8__tp24h__F8__Snap_09_2__1d20187a19.jpg,1d20187a19__SKOV-3__P1_CT_F8__tp24h__Snap-09_2.tiff,,,,
148,_SEG_RUIM/_super,,SKOV-3,P1|CT|F8,48,F8,75.984,SKOV-3__P1_CT_F8__tp48h__F8__Snap_08_2__95925abdae.jpg,95925abdae__SKOV-3__P1_CT_F8__tp48h__Snap-08_2.tiff,,,,
149,_SEG_RUIM/_super,,SKOV-3,P1|GEO+PTX|F1,24,F1,48.583,SKOV-3__P1_GEO_PTX_F1__tp24h__F1__Snap_47_2__f0af91b428.jpg,f0af91b428__SKOV-3__P1_GEO+PTX_F1__tp24h__Snap-47_2.tiff,,,,
150,_SEG_RUIM/_super,,SKOV-3,P1|GEO|F11,24,F11,20.789,SKOV-3__P1_GEO_F11__tp24h__F11__Snap_42_2__aceb303f81.jpg,aceb303f81__SKOV-3__P1_GEO_F11__tp24h__Snap-42_2.tiff,,,,
151,_SEG_RUIM/_super,,SKOV-3,P1|GEO|F11,48,F11,31.25,SKOV-3__P1_GEO_F11__tp48h__F11__Snap_42_2__1c257ba6ee.jpg,1c257ba6ee__SKOV-3__P1_GEO_F11__tp48h__Snap-42_2.tiff,,,,
152,_SEG_RUIM/_super,,SKOV-3,P1|GEO|F6,24,F6,24.997,SKOV-3__P1_GEO_F6__tp24h__F6__Snap_37_2__d421258d9f.jpg,d421258d9f__SKOV-3__P1_GEO_F6__tp24h__Snap-37_2.tiff,,,,
153,_SEG_RUIM/_super,,SKOV-3,P1|GEO|F6,48,F6,40.782,SKOV-3__P1_GEO_F6__tp48h__F6__Snap_37_2__d96e0fc45b.jpg,d96e0fc45b__SKOV-3__P1_GEO_F6__tp48h__Snap-37_2.tiff,,,,
154,_SEG_RUIM/_super,,SKOV-3,P2|CARBO|F9,48,F9,46.402,SKOV-3__P2_CARBO_F9__tp48h__F9__Snap_25__0270d51969.jpg,0270d51969__SKOV-3__P2_CARBO_F9__tp48h__Snap-25.tiff,,,,
155,_SEG_RUIM/_super,,SKOV-3,P2|CT|F15,24,F15,34.584,SKOV-3__P2_CT_F15__tp24h__F15__Snap_15__b42d83ed55.jpg,b42d83ed55__SKOV-3__P2_CT_F15__tp24h__Snap-15.tiff,,,,
156,_SEG_RUIM/_super,,SKOV-3,P2|CT|F15,48,F15,8.729,SKOV-3__P2_CT_F15__tp48h__F15__Snap_15__fd9cb2c695.jpg,fd9cb2c695__SKOV-3__P2_CT_F15__tp48h__Snap-15.tiff,,,,
157,_SEG_RUIM/_super,,SKOV-3,P2|CT|F9,48,F9,37.761,SKOV-3__P2_CT_F9__tp48h__F9__Snap_09__bea62375f6.jpg,bea62375f6__SKOV-3__P2_CT_F9__tp48h__Snap-09.tiff,,,,
158,_SEG_RUIM/_super,,SKOV-3,P2|GEO|F8,0,F8,64.859,SKOV-3__P2_GEO_F8__tp00h__F8__Snap_39__81a85f25ae.jpg,81a85f25ae__SKOV-3__P2_GEO_F8__tp0h__Snap-39.tiff,,,,
